Index,Data
0,C: 2 P: -313 V: 27.00
1,C: 2 P: -313 V: 24.00
2,C: 2 P: -313 V: 21.00
3,C: 2 P: -313 V: 31.00
4,C: 2 P: -313 V: 26.00
5,C: 2 P: -313 V: 34.00
6,C: 2 P: -313 V: 22.00
7,C: 2 P: -313 V: 35.00
8,C: 2 P: -313 V: 19.00
9,C: 2 P: -313 V: 35.00
10,C: 2 P: -313 V: 23.00
11,C: 2 P: -313 V: 38.00
12,C: 2 P: -313 V: 21.00
13,C: 2 P: -313 V: 28.00
14,C: 2 P: -314 V: 25.00
15,C: 2 P: -314 V: 35.00
16,C: 2 P: -314 V: 32.00
17,C: 2 P: -314 V: 27.00
18,C: 2 P: -314 V: 26.00
19,C: 2 P: -314 V: 24.00
20,C: 2 P: -314 V: 24.00
21,C: 2 P: -314 V: 35.00
22,C: 2 P: -314 V: 39.00
23,C: 2 P: -314 V: 28.00
24,C: 2 P: -314 V: 25.00
25,C: 2 P: -314 V: 29.00
26,C: 2 P: -314 V: 30.00
27,C: 2 P: -314 V: 30.00
28,C: 2 P: -314 V: 22.00
29,C: 2 P: -314 V: 30.00
30,C: 2 P: -314 V: 25.00
31,C: 2 P: -314 V: 31.00
32,C: 2 P: -314 V: 27.00
33,C: 2 P: -314 V: 28.00
34,C: 2 P: -314 V: 30.00
35,C: 2 P: -314 V: 31.00
36,C: 2 P: -314 V: 40.00
37,C: 2 P: -314 V: 29.00
38,C: 2 P: -314 V: 34.00
39,C: 2 P: -314 V: 36.00
40,C: 2 P: -314 V: 32.00
41,C: 2 P: -314 V: 31.00
42,C: 2 P: -314 V: 35.00
43,C: 2 P: -314 V: 23.00
44,C: 2 P: -314 V: 36.00
45,C: 2 P: -314 V: 25.00
46,C: 2 P: -314 V: 34.00
47,C: 2 P: -314 V: 24.00
48,C: 2 P: -314 V: 26.00
49,C: 2 P: -314 V: 30.00
50,C: 2 P: -314 V: 31.00
51,C: 2 P: -314 V: 27.00
52,C: 2 P: -314 V: 29.00
53,C: 2 P: -314 V: 35.00
54,C: 2 P: -314 V: 27.00
55,C: 2 P: -314 V: 31.00
56,C: 2 P: -314 V: 22.00
57,C: 2 P: -314 V: 38.00
58,C: 2 P: -314 V: 26.00
59,C: 2 P: -314 V: 30.00
60,C: 2 P: -314 V: 26.00
61,C: 2 P: -314 V: 34.00
62,C: 2 P: -314 V: 23.00
63,C: 2 P: -314 V: 30.00
64,C: 2 P: -314 V: 25.00
65,C: 2 P: -314 V: 28.00
66,C: 2 P: -314 V: 30.00
67,C: 2 P: -314 V: 23.00
68,C: 2 P: -314 V: 37.00
69,C: 2 P: -314 V: 25.00
70,C: 2 P: -314 V: 37.00
71,C: 2 P: -314 V: 24.00
72,C: 2 P: -314 V: 30.00
73,C: 2 P: -314 V: 31.00
74,C: 2 P: -314 V: 31.00
75,C: 2 P: -314 V: 25.00
76,C: 2 P: -314 V: 29.00
77,C: 2 P: -314 V: 18.00
78,C: 2 P: -314 V: 28.00
79,C: 2 P: -314 V: 33.00
80,C: 2 P: -314 V: 25.00
81,C: 2 P: -314 V: 36.00
82,C: 2 P: -314 V: 19.00
83,C: 2 P: -314 V: 26.00
