Index,Data
0,0:-1:324.00
1,0:-6:329.82
2,0:-11:329.79
3,0:-16:329.82
4,0:-21:329.76
5,0:-26:329.80
6,0:-32:329.66
7,0:-37:329.70
8,0:-42:329.49
9,0:-47:329.57
10,0:-52:329.73
11,0:-58:329.68
12,0:-63:329.50
13,0:-68:329.54
14,0:-73:329.54
15,0:-78:329.56
16,0:-84:329.42
17,0:-89:329.46
18,0:-94:329.53
19,0:-99:329.52
20,0:-104:329.63
21,0:-110:329.68
22,0:-115:329.48
23,0:-120:329.83
24,0:-125:329.99
25,0:-130:329.97
26,0:-136:330.12
27,0:-141:330.36
28,0:-146:330.67
29,0:-151:330.76
30,0:-156:331.01
31,0:-161:331.37
32,0:-167:331.67
33,0:-172:331.85
34,0:-177:332.21
35,0:-182:332.43
36,0:-187:332.61
37,0:-193:333.08
38,0:-198:333.19
39,0:-203:333.77
40,0:-208:333.89
41,0:-213:334.23
42,0:-219:334.79
43,0:-224:335.12
44,0:-229:335.39
45,0:-234:335.84
46,0:-239:336.28
47,0:-245:336.43
48,0:-250:336.71
49,0:-255:337.12
50,0:-260:337.40
51,0:-265:337.84
52,0:-271:338.39
53,0:-276:338.62
54,0:-281:338.97
55,0:-286:339.33
56,0:-291:339.68
57,0:-296:339.95
58,0:-302:340.47
59,0:-307:340.68
60,0:-312:340.97
61,0:-317:341.36
62,0:-322:341.83
63,0:-328:342.15
64,0:-333:342.46
65,0:-338:342.77
66,0:-343:343.16
67,0:-348:343.46
68,0:-354:343.70
69,0:-359:343.96
70,0:-364:344.24
71,0:-369:344.56
72,0:-374:344.58
73,0:-380:344.91
74,0:-385:345.17
75,0:-390:345.52
76,0:-395:345.68
77,0:-400:345.95
78,0:-400:346.17
79,0:-400:346.64
80,0:-400:346.84
81,0:-400:347.08
82,0:-400:347.25
83,0:-400:347.20
84,0:-400:347.52
85,0:-400:347.84
86,0:-400:347.79
87,0:-400:347.86
88,0:-400:348.03
89,0:-400:348.19
90,0:-400:348.18
91,0:-400:348.40
92,0:-400:348.50
93,0:-400:348.62
94,0:-400:348.82
95,0:-400:348.76
96,0:-400:348.67
97,0:-400:349.04
98,0:-400:348.86
99,0:-400:349.09
100,0:-400:349.26
101,0:-400:348.95
102,0:-400:349.16
103,0:-400:349.15
104,0:-400:349.41
105,0:-400:349.42
106,0:-400:349.66
107,0:-400:349.46
108,0:-400:349.71
109,0:-400:349.82
110,0:-400:349.75
111,0:-400:349.80
112,0:-400:349.89
113,0:-400:350.05
114,0:-400:349.83
115,0:-400:350.06
