Index,Data
0,
1,0:-1:216.00
2,0:-7:216.63
3,0:-13:216.70
4,0:-20:216.79
5,0:-26:216.87
6,0:-33:216.79
7,0:-39:216.85
8,0:-46:216.84
9,0:-52:216.84
10,0:-59:216.77
11,0:-65:216.72
12,0:-72:216.65
13,0:-78:216.60
14,0:-85:216.54
15,0:-91:216.46
16,0:-98:216.49
17,0:-104:216.59
18,0:-111:216.70
19,0:-117:216.71
20,0:-124:216.78
21,0:-130:216.98
22,0:-137:217.03
23,0:-143:217.27
24,0:-150:217.48
25,0:-156:217.70
26,0:-163:217.91
27,0:-169:218.19
28,0:-176:218.31
29,0:-182:218.63
30,0:-189:218.83
31,0:-195:219.12
32,0:-202:219.41
33,0:-208:219.72
34,0:-215:220.00
35,0:-221:220.26
36,0:-228:220.58
37,0:-234:220.89
38,0:-241:221.13
39,0:-247:221.45
40,0:-254:221.70
41,0:-260:222.08
42,0:-267:222.41
43,0:-273:222.68
44,0:-280:222.91
45,0:-286:223.27
46,0:-293:223.56
47,0:-299:223.83
48,0:-306:224.03
49,0:-312:224.31
50,0:-318:224.48
51,0:-325:224.70
52,0:-331:224.84
53,0:-338:225.04
54,0:-344:225.24
55,0:-351:225.40
56,0:-357:225.55
57,0:-364:225.79
58,0:-370:225.98
59,0:-377:226.09
60,0:-383:226.30
61,0:-390:226.41
62,0:-396:226.59
63,0:-400:226.64
64,0:-400:226.81
65,0:-400:227.09
66,0:-400:227.22
67,0:-400:227.29
68,0:-400:227.35
69,0:-400:227.47
70,0:-400:227.63
71,0:-400:227.78
72,0:-400:227.77
73,0:-400:227.84
74,0:-400:227.90
75,0:-400:227.94
76,0:-400:228.08
77,0:-400:228.15
78,0:-400:228.19
79,0:-400:228.20
80,0:-400:228.21
81,0:-400:228.28
82,0:-400:228.27
83,0:-400:228.41
84,0:-400:228.39
85,0:-400:228.44
86,0:-400:228.44
87,0:-400:228.51
88,0:-400:228.45
89,0:-400:228.51
90,0:-400:228.47
91,0:-400:228.65
92,0:-400:228.58
93,0:-400:228.63
94,0:-400:228.60
95,0:-400:228.66
96,0:-400:228.75
97,0:-400:228.72
98,0:-400:228.73
99,0:-400:228.80
100,0:-400:228.83
101,0:-399:228.80
102,0:-393:228.81
103,0:-386:228.94
104,0:-380:228.99
105,0:-373:229.11
106,0:-367:229.17
107,0:-360:229.29
108,0:-354:229.40
109,0:-347:229.59
110,0:-341:229.57
111,0:-334:229.53
112,0:-328:229.61
113,0:-321:229.66
114,0:-315:229.76
115,0:-308:229.68
116,0:-302:229.64
117,0:-295:229.68
118,0:-289:229.60
119,0:-282:229.48
120,0:-276:229.45
121,0:-269:229.30
122,0:-263:229.17
123,0:-256:229.01
124,0:-250:228.85
125,0:-243:228.61
126,0:-237:228.46
127,0:-230:228.18
128,0:-224:227.97
129,0:-217:227.63
130,0:-211:227.42
131,0:-204:227.03
132,0:-198:226.71
133,0:-191:226.35
134,0:-185:225.91
135,0:-178:225.55
136,0:-172:225.15
137,0:-165:224.72
138,0:-159:224.36
139,0:-152:223.70
140,0:-146:223.19
141,0:-139:222.63
142,0:-133:221.96
143,0:-126:221.42
144,0:-120:220.69
145,0:-113:220.00
146,0:-107:219.32
147,0:-100:218.66
148,0:-94:217.89
149,0:-88:217.09
150,0:-81:216.38
151,0:-75:215.51
152,0:-68:214.65
153,0:-62:213.85
154,0:-55:213.08
155,0:-49:212.13
156,0:-42:211.31
157,0:-36:210.43
158,0:-29:209.65
159,0:-23:208.65
160,0:-16:207.89
161,0:-10:207.02
162,0:-3:206.23
163,0:0:205.36
164,0:0:205.06
165,0:0:204.97
166,0:0:204.99
167,0:0:205.08
168,0:0:205.03
169,0:0:205.02
170,0:0:205.19
171,0:0:205.22
172,0:0:205.18
173,0:0:205.22
174,0:0:205.41
175,0:0:205.35
176,0:0:205.45
177,0:0:205.56
178,0:0:205.54
179,0:0:205.61
180,0:0:205.72
181,0:0:205.80
182,0:0:205.76
183,0:0:205.88
184,0:0:205.83
185,0:0:205.91
186,0:0:205.99
187,0:0:206.04
188,0:0:206.10
189,0:0:206.05
190,0:0:206.15
191,0:0:206.18
192,0:0:206.18
193,0:0:206.24
194,0:0:206.25
195,0:0:206.32
196,0:0:206.38
197,0:0:206.42
198,0:0:206.48
199,0:0:206.53
200,0:0:206.51
201,1:-1:206.58
202,1:-8:206.72
203,1:-14:206.98
204,1:-21:207.28
205,1:-27:207.59
206,1:-34:207.89
207,1:-40:208.24
208,1:-47:208.59
209,1:-53:208.96
210,1:-60:209.33
211,1:-66:209.76
212,1:-73:210.19
213,1:-79:210.65
214,1:-86:211.13
215,1:-92:211.66
216,1:-99:212.17
217,1:-105:212.71
218,1:-112:213.24
219,1:-118:213.82
220,1:-125:214.36
221,1:-131:214.96
222,1:-138:215.54
223,1:-144:216.08
224,1:-151:216.67
225,1:-157:217.03
226,1:-164:217.69
227,1:-170:218.22
228,1:-177:218.68
229,1:-183:219.30
230,1:-190:219.84
231,1:-196:220.24
232,1:-203:220.71
233,1:-209:221.16
234,1:-216:221.53
235,1:-222:222.15
236,1:-229:222.63
237,1:-235:222.99
238,1:-242:223.42
239,1:-248:223.81
240,1:-255:224.17
241,1:-261:224.57
242,1:-268:224.86
243,1:-274:225.16
244,1:-281:225.49
245,1:-287:225.80
246,1:-294:226.08
247,1:-300:226.46
248,1:-307:226.59
249,1:-313:226.90
250,1:-319:227.02
251,1:-326:227.27
252,1:-332:227.55
253,1:-339:227.74
254,1:-345:227.93
255,1:-352:228.07
256,1:-358:228.17
257,1:-365:228.28
258,1:-371:228.37
259,1:-378:228.38
260,1:-384:228.54
261,1:-391:228.62
262,1:-397:228.62
263,1:-400:228.74
264,1:-400:228.86
265,1:-400:228.99
266,1:-400:229.11
267,1:-400:229.15
268,1:-400:229.32
269,1:-400:229.40
270,1:-400:229.45
271,1:-400:229.51
272,1:-400:229.60
273,1:-400:229.64
274,1:-400:229.72
275,1:-400:229.87
276,1:-400:229.86
277,1:-400:229.91
278,1:-400:229.93
279,1:-400:229.95
280,1:-400:230.02
281,1:-400:230.03
282,1:-400:230.05
283,1:-400:230.04
284,1:-400:230.06
285,1:-400:230.15
286,1:-400:230.11
287,1:-400:230.18
288,1:-400:230.24
289,1:-400:230.24
290,1:-400:230.32
291,1:-400:230.37
292,1:-400:230.28
293,1:-400:230.34
294,1:-400:230.37
295,1:-400:230.41
296,1:-400:230.42
297,1:-400:230.45
298,1:-400:230.41
299,1:-400:230.50
300,1:-400:230.49
301,1:-398:230.48
302,1:-392:230.55
303,1:-385:230.59
304,1:-379:230.75
305,1:-372:230.73
306,1:-366:230.86
307,1:-359:230.97
308,1:-353:231.03
309,1:-346:231.12
310,1:-340:231.20
311,1:-333:231.14
312,1:-327:231.18
313,1:-320:231.22
314,1:-314:231.20
315,1:-307:231.16
316,1:-301:231.11
317,1:-294:231.10
318,1:-288:230.98
319,1:-281:230.89
320,1:-275:230.76
321,1:-268:230.52
322,1:-262:230.45
323,1:-255:230.25
324,1:-249:230.02
325,1:-242:229.67
326,1:-236:229.42
327,1:-229:229.14
328,1:-223:228.87
329,1:-216:228.58
330,1:-210:228.28
331,1:-203:227.89
332,1:-197:227.58
333,1:-190:227.15
334,1:-184:226.76
335,1:-177:226.27
336,1:-171:225.80
337,1:-164:225.33
338,1:-158:224.85
339,1:-151:224.30
340,1:-145:223.66
341,1:-138:223.10
342,1:-132:222.35
343,1:-125:221.64
344,1:-119:220.91
345,1:-112:220.23
346,1:-106:219.43
347,1:-99:218.62
348,1:-93:217.95
349,1:-87:216.96
350,1:-80:216.10
351,1:-74:215.19
352,1:-67:214.27
353,1:-61:213.42
354,1:-54:212.60
355,1:-48:211.63
356,1:-41:210.76
357,1:-35:209.80
358,1:-28:208.90
359,1:-22:207.91
360,1:-15:207.10
361,1:-9:206.17
362,1:-2:205.20
363,1:0:204.51
364,1:0:204.28
365,1:0:204.15
366,1:0:204.11
367,1:0:204.03
368,1:0:204.13
369,1:0:204.15
370,1:0:204.27
371,1:0:204.18
372,1:0:204.25
373,1:0:204.34
374,1:0:204.40
375,1:0:204.40
376,1:0:204.40
377,1:0:204.46
378,1:0:204.46
379,1:0:204.60
380,1:0:204.56
381,1:0:204.61
382,1:0:204.66
383,1:0:204.69
384,1:0:204.82
385,1:0:204.78
386,1:0:204.83
387,1:0:204.88
388,1:0:204.92
389,1:0:204.92
390,1:0:204.96
391,1:0:205.03
392,1:0:205.01
393,1:0:205.12
394,1:0:205.13
395,1:0:205.14
396,1:0:205.14
397,1:0:205.21
398,1:0:205.26
399,1:0:205.29
400,1:0:205.30
401,2:-2:205.32
402,2:-9:205.47
403,2:-15:205.81
404,2:-22:206.15
405,2:-28:206.55
406,2:-35:206.84
407,2:-41:207.13
408,2:-48:207.66
409,2:-54:208.03
410,2:-61:208.40
411,2:-67:208.93
412,2:-74:209.37
413,2:-80:209.91
414,2:-87:210.45
415,2:-93:211.02
416,2:-100:211.67
417,2:-106:212.27
418,2:-113:212.87
419,2:-119:213.43
420,2:-126:214.08
421,2:-132:214.60
422,2:-139:215.22
423,2:-145:215.79
424,2:-152:216.44
425,2:-158:216.89
426,2:-165:217.54
427,2:-171:218.12
428,2:-178:218.62
429,2:-184:219.22
430,2:-191:219.74
431,2:-197:220.34
432,2:-204:220.79
433,2:-210:221.23
434,2:-217:221.83
435,2:-223:222.35
436,2:-230:222.82
437,2:-236:223.27
438,2:-243:223.76
439,2:-249:224.13
440,2:-256:224.51
441,2:-262:224.91
442,2:-269:225.27
443,2:-275:225.46
444,2:-282:225.89
445,2:-288:226.27
446,2:-295:226.55
447,2:-301:226.88
448,2:-308:227.13
449,2:-314:227.38
450,2:-320:227.64
451,2:-327:227.84
452,2:-333:228.01
453,2:-340:228.18
454,2:-346:228.40
455,2:-353:228.54
456,2:-359:228.67
457,2:-366:228.77
458,2:-372:228.89
459,2:-379:229.03
460,2:-385:229.02
461,2:-392:229.14
462,2:-398:229.28
463,2:-400:229.24
464,2:-400:229.45
465,2:-400:229.63
466,2:-400:229.69
467,2:-400:229.87
468,2:-400:229.93
469,2:-400:230.01
470,2:-400:230.06
471,2:-400:230.18
472,2:-400:230.20
473,2:-400:230.24
474,2:-400:230.33
475,2:-400:230.38
476,2:-400:230.39
477,2:-400:230.47
478,2:-400:230.40
479,2:-400:230.55
480,2:-400:230.59
481,2:-400:230.61
482,2:-400:230.64
483,2:-400:230.66
484,2:-400:230.73
485,2:-400:230.72
486,2:-400:230.79
487,2:-400:230.79
488,2:-400:230.81
489,2:-400:230.80
490,2:-400:230.81
491,2:-400:230.93
492,2:-400:230.87
493,2:-400:230.96
494,2:-400:230.93
495,2:-400:230.98
496,2:-400:230.96
497,2:-400:231.01
498,2:-400:230.94
499,2:-400:231.04
500,2:-400:231.09
501,2:-397:231.09
502,2:-391:231.14
503,2:-384:231.16
504,2:-378:231.23
505,2:-371:231.30
506,2:-365:231.48
507,2:-358:231.50
508,2:-352:231.61
509,2:-345:231.68
510,2:-339:231.70
511,2:-332:231.81
512,2:-326:231.74
513,2:-319:231.85
514,2:-313:231.68
515,2:-306:231.73
516,2:-300:231.69
517,2:-293:231.51
518,2:-287:231.44
519,2:-280:231.34
520,2:-274:231.13
521,2:-267:230.96
522,2:-261:230.84
523,2:-254:230.53
524,2:-248:230.47
525,2:-241:230.04
526,2:-235:229.79
527,2:-228:229.52
528,2:-222:229.25
529,2:-215:228.85
530,2:-209:228.55
531,2:-202:228.14
532,2:-196:227.79
533,2:-189:227.34
534,2:-183:226.88
535,2:-176:226.49
536,2:-170:225.99
537,2:-163:225.43
538,2:-157:224.91
539,2:-150:224.36
540,2:-144:223.75
541,2:-137:223.10
542,2:-131:222.33
543,2:-124:221.75
544,2:-118:220.92
545,2:-111:220.17
546,2:-105:219.35
547,2:-98:218.51
548,2:-92:217.63
549,2:-86:216.78
550,2:-79:215.92
551,2:-73:215.00
552,2:-66:213.98
553,2:-60:213.09
554,2:-53:212.07
555,2:-47:211.17
556,2:-40:210.29
557,2:-34:209.31
558,2:-27:208.41
559,2:-21:207.59
560,2:-14:206.68
561,2:-8:205.63
562,2:-1:204.69
563,2:0:204.03
564,2:0:203.75
565,2:0:203.74
566,2:0:203.71
567,2:0:203.69
568,2:0:203.66
569,2:0:203.74
570,2:0:203.70
571,2:0:203.74
572,2:0:203.79
573,2:0:203.84
574,2:0:203.95
575,2:0:203.93
576,2:0:203.96
577,2:0:203.97
578,2:0:204.05
579,2:0:204.08
580,2:0:204.06
581,2:0:204.08
582,2:0:204.14
583,2:0:204.22
584,2:0:204.22
585,2:0:204.26
586,2:0:204.32
587,2:0:204.36
588,2:0:204.41
589,2:0:204.40
590,2:0:204.48
591,2:0:204.52
592,2:0:204.51
593,2:0:204.54
594,2:0:204.48
595,2:0:204.62
596,2:0:204.62
597,2:0:204.68
598,2:0:204.72
599,2:0:204.72
600,2:0:204.77
601,3:-3:204.80
602,3:-10:205.12
603,3:-16:205.23
604,3:-23:205.64
605,3:-29:205.96
606,3:-36:206.38
607,3:-42:206.67
608,3:-49:207.05
609,3:-55:207.50
610,3:-62:207.93
611,3:-68:208.46
612,3:-75:209.02
613,3:-81:209.56
614,3:-88:210.17
615,3:-94:210.72
616,3:-101:211.35
617,3:-107:212.03
618,3:-114:212.66
619,3:-120:213.31
620,3:-127:213.89
621,3:-133:214.55
622,3:-140:215.11
623,3:-146:215.74
624,3:-153:216.34
625,3:-159:216.95
626,3:-166:217.50
627,3:-172:218.12
628,3:-179:218.60
629,3:-185:219.20
630,3:-192:219.81
631,3:-198:220.36
632,3:-205:220.82
633,3:-211:221.51
634,3:-218:221.89
635,3:-224:222.42
636,3:-231:222.94
637,3:-237:223.51
638,3:-244:223.95
639,3:-250:224.31
640,3:-257:224.73
641,3:-263:225.06
642,3:-270:225.40
643,3:-276:225.83
644,3:-283:226.20
645,3:-289:226.51
646,3:-296:226.89
647,3:-302:227.16
648,3:-309:227.41
649,3:-315:227.68
650,3:-321:227.92
651,3:-328:228.10
652,3:-334:228.37
653,3:-341:228.51
654,3:-347:228.64
655,3:-354:228.87
656,3:-360:228.98
657,3:-367:229.17
658,3:-373:229.17
659,3:-380:229.37
660,3:-386:229.34
661,3:-393:229.44
662,3:-399:229.55
663,3:-400:229.65
664,3:-400:229.77
665,3:-400:229.99
666,3:-400:230.09
667,3:-400:230.21
668,3:-400:230.28
669,3:-400:230.35
670,3:-400:230.42
671,3:-400:230.45
672,3:-400:230.60
673,3:-400:230.65
674,3:-400:230.57
675,3:-400:230.72
676,3:-400:230.75
677,3:-400:230.78
678,3:-400:230.80
679,3:-400:230.89
680,3:-400:230.85
681,3:-400:230.95
682,3:-400:230.99
683,3:-400:231.07
684,3:-400:231.05
685,3:-400:231.01
686,3:-400:231.12
687,3:-400:231.16
688,3:-400:231.14
689,3:-400:231.16
690,3:-400:231.20
691,3:-400:231.23
692,3:-400:231.21
693,3:-400:231.23
694,3:-400:231.19
695,3:-400:231.22
696,3:-400:231.37
697,3:-400:231.34
698,3:-400:231.35
699,3:-400:231.41
700,3:-400:231.39
701,3:-396:231.42
702,3:-390:231.45
703,3:-383:231.58
704,3:-377:231.59
705,3:-370:231.74
706,3:-364:231.72
707,3:-357:231.84
708,3:-351:231.91
709,3:-344:232.02
710,3:-338:231.99
711,3:-331:232.10
712,3:-325:232.15
713,3:-318:232.08
714,3:-312:232.03
715,3:-305:232.05
716,3:-299:231.97
717,3:-292:231.85
718,3:-286:231.72
719,3:-279:231.59
720,3:-273:231.42
721,3:-266:231.28
722,3:-260:231.03
723,3:-253:230.77
724,3:-247:230.50
725,3:-240:230.34
726,3:-234:229.94
727,3:-227:229.61
728,3:-221:229.35
729,3:-214:228.93
730,3:-208:228.67
731,3:-201:228.23
732,3:-195:227.83
733,3:-188:227.47
734,3:-182:227.01
735,3:-175:226.50
736,3:-169:225.93
737,3:-162:225.41
738,3:-156:224.99
739,3:-149:224.29
740,3:-143:223.72
741,3:-136:223.06
742,3:-130:222.40
743,3:-123:221.69
744,3:-117:220.81
745,3:-110:220.16
746,3:-104:219.24
747,3:-97:218.32
748,3:-91:217.56
749,3:-85:216.49
750,3:-78:215.70
751,3:-72:214.69
752,3:-65:213.80
753,3:-59:212.83
754,3:-52:211.85
755,3:-46:210.95
756,3:-39:210.00
757,3:-33:209.11
758,3:-26:208.23
759,3:-20:207.21
760,3:-13:206.35
761,3:-7:205.33
762,3:0:204.42
763,3:0:203.78
764,3:0:203.50
765,3:0:203.38
766,3:0:203.34
767,3:0:203.45
768,3:0:203.37
769,3:0:203.43
770,3:0:203.46
771,3:0:203.52
772,3:0:203.48
773,3:0:203.55
774,3:0:203.60
775,3:0:203.60
776,3:0:203.68
777,3:0:203.71
778,3:0:203.67
779,3:0:203.76
780,3:0:203.82
781,3:0:203.85
782,3:0:203.95
783,3:0:203.87
784,3:0:203.92
785,3:0:204.04
786,3:0:204.02
787,3:0:204.06
788,3:0:204.12
789,3:0:204.06
790,3:0:204.18
791,3:0:204.20
792,3:0:204.22
793,3:0:204.21
794,3:0:204.34
795,3:0:204.24
796,3:0:204.29
797,3:0:204.26
798,3:0:204.37
799,3:0:204.32
800,3:0:204.39
801,4:-4:204.52
802,4:-11:204.83
803,4:-17:205.04
804,4:-24:205.30
805,4:-30:205.77
806,4:-37:206.11
807,4:-43:206.52
808,4:-50:206.85
809,4:-56:207.30
810,4:-63:207.79
811,4:-69:208.31
812,4:-76:208.81
813,4:-82:209.42
814,4:-89:210.08
815,4:-95:210.72
816,4:-102:211.35
817,4:-108:211.93
818,4:-115:212.53
819,4:-121:213.15
820,4:-128:213.80
821,4:-134:214.54
822,4:-141:215.23
823,4:-147:215.67
824,4:-154:216.36
825,4:-160:217.05
826,4:-167:217.45
827,4:-173:218.19
828,4:-180:218.66
829,4:-186:219.32
830,4:-193:219.90
831,4:-199:220.38
832,4:-206:220.99
833,4:-212:221.54
834,4:-219:222.07
835,4:-225:222.54
836,4:-232:223.07
837,4:-238:223.55
838,4:-245:224.04
839,4:-251:224.58
840,4:-258:224.87
841,4:-264:225.26
842,4:-271:225.66
843,4:-277:226.07
844,4:-284:226.45
845,4:-290:226.77
846,4:-297:227.05
847,4:-303:227.31
848,4:-310:227.67
849,4:-316:227.89
850,4:-322:228.14
851,4:-329:228.47
852,4:-335:228.64
853,4:-342:228.69
854,4:-348:229.04
855,4:-355:229.10
856,4:-361:229.14
857,4:-368:229.41
858,4:-374:229.49
859,4:-381:229.56
860,4:-387:229.60
861,4:-394:229.76
862,4:-400:229.81
863,4:-400:229.90
864,4:-400:230.06
865,4:-400:230.22
866,4:-400:230.41
867,4:-400:230.47
868,4:-400:230.48
869,4:-400:230.52
870,4:-400:230.63
871,4:-400:230.82
872,4:-400:230.81
