Index,Data
0,0:-1:473.00:200
1,0:-6:476.54:200
2,0:-11:477.00:200
3,0:-16:477.44:200
4,0:-21:477.68:200
5,0:-26:477.81:200
6,0:-32:478.22:200
7,0:-37:478.38:200
8,0:-42:479.09:200
9,0:-47:479.27:200
10,0:-52:479.80:200
11,0:-58:480.25:200
12,0:-63:480.62:200
13,0:-68:481.15:200
14,0:-73:481.24:200
15,0:-78:481.72:200
16,0:-84:482.60:200
17,0:-89:482.47:200
18,0:-94:483.11:200
19,0:-99:483.30:200
20,0:-104:484.01:200
21,0:-110:484.27:200
22,0:-115:484.57:200
23,0:-120:484.92:200
24,0:-125:485.55:200
25,0:-130:486.04:200
26,0:-136:486.35:200
27,0:-141:486.66:200
28,0:-146:487.22:200
29,0:-151:487.61:200
30,0:-156:487.95:200
31,0:-161:488.66:200
32,0:-167:488.84:200
33,0:-172:489.07:200
34,0:-177:489.69:200
35,0:-182:490.03:200
36,0:-187:490.20:200
37,0:-193:489.52:200
38,0:-198:483.84:200
39,0:-203:482.80:200
40,0:-208:491.66:200
41,0:-213:492.00:200
42,0:-219:492.54:200
43,0:-224:492.59:200
44,0:-229:492.71:200
45,0:-234:490.74:200
46,0:-239:490.41:200
47,0:-245:493.23:200
48,0:-250:494.51:200
49,0:-255:488.93:200
50,0:-260:493.96:200
51,0:-265:491.67:200
52,0:-271:472.40:200
53,0:-276:485.30:200
54,0:-281:469.48:200
55,0:-286:475.00:200
56,0:-291:489.42:200
57,0:-296:491.62:200
58,0:-302:496.99:200
59,0:-307:497.06:200
60,0:-312:497.57:200
61,0:-317:497.67:200
62,0:-322:497.63:200
63,0:-328:497.93:200
64,0:-333:498.11:200
65,0:-338:498.59:200
66,0:-343:498.32:200
67,0:-348:498.86:200
68,0:-354:498.77:200
69,0:-359:498.93:200
70,0:-364:498.90:200
71,0:-369:499.00:200
72,0:-374:499.12:200
73,0:-380:499.30:200
74,0:-385:499.16:200
75,0:-390:499.27:200
76,0:-395:499.20:200
77,0:-400:499.19:283
78,0:-400:499.36:283
79,0:-400:499.68:283
80,0:-400:499.64:283
81,0:-400:499.70:283
82,0:-400:499.81:283
83,0:-400:499.88:283
84,0:-400:499.93:283
85,0:-400:500.13:283
86,0:-400:500.30:283
87,0:-400:500.32:283
88,0:-400:500.44:283
89,0:-400:500.47:283
90,0:-400:500.33:283
91,0:-400:500.48:283
92,0:-400:500.52:283
93,0:-400:500.55:283
94,0:-400:500.70:283
95,0:-400:500.63:283
96,0:-400:500.77:283
97,0:-400:500.79:283
98,0:-400:500.84:283
99,0:-400:500.72:283
100,0:-400:500.89:283
101,0:-400:501.00:283
102,0:-400:501.07:283
103,0:-400:500.87:283
104,0:-400:500.91:283
105,0:-400:501.02:283
106,0:-400:501.00:283
107,0:-400:501.09:283
108,0:-400:501.09:283
109,0:-400:500.99:283
110,0:-400:501.06:283
111,0:-400:501.11:283
112,0:-400:501.28:283
113,0:-400:501.34:283
114,0:-400:501.23:283
115,0:-400:501.38:283
116,0:-396:501.34:283
117,0:-391:498.82:283
118,0:-385:501.78:283
119,0:-380:501.27:283
120,0:-375:501.46:283
121,0:-370:501.45:283
122,0:-365:501.46:283
123,0:-359:501.52:283
124,0:-354:501.63:283
125,0:-349:501.84:283
126,0:-344:501.81:283
127,0:-339:501.72:283
128,0:-333:502.15:283
129,0:-328:500.45:283
130,0:-323:500.28:283
131,0:-318:502.35:283
132,0:-313:502.29:283
133,0:-307:500.20:283
134,0:-302:501.88:283
135,0:-297:501.84:283
136,0:-292:501.36:283
137,0:-287:500.03:283
138,0:-281:499.21:283
139,0:-276:495.66:283
140,0:-271:386.27:283
141,0:-266:501.22:283
142,0:-261:500.79:283
143,0:-255:499.18:283
144,0:-250:500.85:283
145,0:-245:500.86:283
146,0:-240:500.77:283
147,0:-235:500.58:283
148,0:-230:500.31:283
149,0:-224:500.01:283
150,0:-219:499.47:283
151,0:-214:499.31:283
152,0:-209:498.77:283
153,0:-204:498.45:283
154,0:-198:498.12:283
155,0:-193:497.90:283
156,0:-188:497.33:283
157,0:-183:497.01:283
158,0:-178:496.66:283
159,0:-172:496.11:283
160,0:-167:495.90:283
161,0:-162:495.43:283
162,0:-157:494.77:283
163,0:-152:494.23:283
164,0:-146:493.46:283
165,0:-141:492.97:283
166,0:-136:492.45:283
167,0:-131:491.89:283
168,0:-130:491.14:283
169,0:-130:491.39:283
170,0:-130:491.62:283
171,0:-130:491.25:283
172,0:-130:491.58:283
173,0:-130:491.34:283
174,0:-130:491.89:283
175,0:-130:491.55:283
176,0:-130:492.09:283
177,0:-130:491.66:283
178,0:-130:491.09:283
179,0:-130:491.13:283
180,0:-130:491.63:283
181,0:-130:491.71:283
182,0:-130:491.95:283
183,0:-130:491.75:283
184,0:-130:491.95:283
185,0:-130:491.91:283
186,0:-130:491.77:283
187,0:-130:492.36:283
188,0:-130:492.12:283
189,0:-130:492.18:283
190,0:-130:492.20:283
191,0:-130:491.95:283
192,0:-130:492.34:283
193,0:-130:492.06:283
194,0:-130:492.20:283
195,0:-130:492.33:283
196,0:-130:492.27:283
197,0:-130:492.27:283
198,0:-130:492.14:283
199,0:-130:492.37:283
200,0:-130:492.30:283
201,0:-130:492.32:283
202,0:-130:492.45:283
203,0:-130:492.32:283
204,0:-130:492.39:283
205,0:-130:492.39:283
206,1:-133:492.47:283
207,1:-138:492.66:283
208,1:-143:493.13:283
209,1:-149:493.31:283
210,1:-154:494.00:283
211,1:-159:493.96:283
212,1:-164:494.57:283
213,1:-169:494.95:283
214,1:-175:495.17:283
215,1:-180:495.66:283
216,1:-185:495.69:283
217,1:-190:496.28:283
218,1:-195:496.48:283
219,1:-201:496.87:283
220,1:-206:497.36:283
221,1:-211:497.75:283
222,1:-216:498.19:283
223,1:-221:498.37:283
224,1:-227:498.64:283
225,1:-232:498.90:283
226,1:-237:499.39:283
227,1:-242:499.45:283
228,1:-247:499.72:283
229,1:-253:500.13:283
230,1:-258:500.46:283
231,1:-263:500.61:283
232,1:-268:500.87:283
233,1:-273:500.99:283
234,1:-279:501.06:283
235,1:-284:501.32:283
236,1:-289:501.42:283
237,1:-294:501.79:283
238,1:-299:501.76:283
239,1:-304:501.91:283
240,1:-310:502.25:283
241,1:-315:502.19:283
242,1:-320:502.21:283
243,1:-325:502.42:283
244,1:-330:502.56:283
245,1:-336:502.50:283
246,1:-341:502.79:283
247,1:-346:502.68:283
248,1:-351:501.06:283
249,1:-356:502.56:283
250,1:-362:501.57:283
251,1:-367:493.62:283
252,1:-372:500.99:283
253,1:-377:502.10:283
254,1:-382:502.51:283
255,1:-385:501.85:218
256,1:-385:502.95:218
257,1:-385:503.11:218
258,1:-385:502.89:218
259,1:-385:503.11:218
260,1:-385:502.96:218
261,1:-385:503.28:218
262,1:-385:503.38:218
263,1:-385:503.28:218
264,1:-385:503.20:218
265,1:-385:503.28:218
266,1:-385:503.48:218
267,1:-385:503.22:218
268,1:-385:503.28:218
269,1:-385:503.39:218
270,1:-385:503.64:218
271,1:-385:503.48:218
272,1:-385:503.40:218
273,1:-385:503.46:218
274,1:-385:503.46:218
275,1:-385:503.74:218
276,1:-385:503.70:218
277,1:-385:503.59:218
278,1:-385:503.92:218
279,1:-385:503.74:218
280,1:-385:503.74:218
281,1:-385:503.75:218
282,1:-385:503.66:218
283,1:-385:503.80:218
284,1:-385:503.86:218
285,1:-385:503.94:218
286,1:-385:503.78:218
287,1:-385:504.10:218
288,1:-385:503.86:218
289,1:-385:503.86:218
290,1:-385:503.83:218
291,1:-385:503.88:218
292,1:-385:504.03:218
293,1:-384:504.27:218
294,1:-379:495.89:218
295,1:-373:503.38:218
296,1:-368:496.52:218
297,1:-363:481.55:218
298,1:-358:499.44:218
299,1:-353:471.08:218
300,1:-347:476.86:218
301,1:-342:481.60:218
302,1:-337:484.86:218
303,1:-332:502.47:218
304,1:-327:478.21:218
305,1:-321:485.71:218
306,1:-316:502.10:218
307,1:-311:496.98:218
308,1:-306:488.68:218
309,1:-301:502.57:218
310,1:-295:502.94:218
311,1:-290:357.83:218
312,1:-285:482.44:218
313,1:-280:475.01:218
314,1:-275:469.97:218
315,1:-269:379.33:218
