Index,Data
0,
1,0:-1:508.00
2,0:-6:497.01
3,0:-11:497.13
4,0:-16:497.35
5,0:-21:497.27
6,0:-26:497.21
7,0:-32:497.42
8,0:-37:497.39
9,0:-42:497.62
10,0:-47:497.48
11,0:-52:497.59
12,0:-58:497.64
13,0:-63:497.83
14,0:-68:498.15
15,0:-73:497.90
16,0:-78:498.24
17,0:-84:498.45
18,0:-89:498.60
19,0:-94:498.96
20,0:-99:499.33
21,0:-104:499.38
22,0:-110:499.74
23,0:-115:499.98
24,0:-120:500.13
25,0:-125:500.42
26,0:-130:500.42
27,0:-136:500.66
28,0:-141:501.26
29,0:-146:501.69
30,0:-151:501.68
31,0:-156:502.16
32,0:-161:502.36
33,0:-167:502.84
34,0:-172:503.10
35,0:-177:503.31
36,0:-182:503.60
37,0:-187:503.90
38,0:-193:504.34
39,0:-198:504.74
40,0:-203:505.17
41,0:-208:505.41
42,0:-213:505.78
43,0:-219:506.23
44,0:-224:506.56
45,0:-229:506.85
46,0:-234:507.25
47,0:-239:507.70
48,0:-245:508.30
49,0:-250:508.57
50,0:-255:509.15
51,0:-260:509.65
52,0:-265:510.20
53,0:-271:510.79
54,0:-276:511.08
55,0:-281:511.57
56,0:-286:512.14
57,0:-291:512.74
58,0:-296:512.94
59,0:-302:513.57
60,0:-307:513.76
61,0:-312:514.28
62,0:-317:514.75
63,0:-322:515.00
64,0:-328:515.34
65,0:-333:515.98
66,0:-338:516.16
67,0:-343:516.72
68,0:-348:517.12
69,0:-354:517.09
70,0:-359:517.35
71,0:-364:517.99
72,0:-369:518.06
73,0:-374:518.35
74,0:-380:518.64
75,0:-385:518.85
76,0:-390:519.15
77,0:-395:519.19
78,0:-400:519.47
79,0:-400:519.68
80,0:-400:519.95
81,0:-400:520.35
82,0:-400:520.50
83,0:-400:520.69
84,0:-400:520.77
85,0:-400:521.01
86,0:-400:521.10
87,0:-400:521.19
88,0:-400:521.29
89,0:-400:521.52
90,0:-400:521.50
91,0:-400:521.69
92,0:-400:521.65
93,0:-400:521.82
94,0:-400:521.86
95,0:-400:521.94
96,0:-400:521.92
97,0:-400:522.06
