Index,Data
0,0:-1:5.00:200
1,0:-6:9.97:200
2,0:-11:9.93:200
3,0:-16:9.11:200
4,0:-21:9.40:200
5,0:-26:9.85:200
6,0:-32:9.96:200
7,0:-37:10.15:200
8,0:-42:9.78:200
9,0:-47:9.20:200
10,0:-52:9.54:200
11,0:-58:9.74:200
12,0:-63:9.74:200
13,0:-68:9.99:200
14,0:-73:10.02:200
15,0:-78:9.20:200
16,0:-84:9.33:200
17,0:-89:9.98:200
18,0:-94:9.76:200
19,0:-99:10.12:200
20,0:-104:9.77:200
21,0:-110:9.60:200
22,0:-115:9.45:200
23,0:-120:9.63:200
24,0:-125:9.81:200
25,0:-130:10.37:200
26,0:-136:9.61:200
27,0:-141:9.65:200
28,0:-146:9.38:200
29,0:-151:9.36:200
30,0:-156:9.70:200
31,0:-161:10.25:200
32,0:-167:9.74:200
33,0:-172:9.58:200
34,0:-177:9.54:200
35,0:-182:9.34:200
36,0:-187:9.48:200
37,0:-193:10.28:200
38,0:-198:9.95:200
39,0:-203:9.70:200
40,0:-208:9.37:200
41,0:-213:9.41:200
42,0:-219:9.74:200
43,0:-224:9.92:200
44,0:-229:10.13:200
45,0:-234:10.02:200
46,0:-239:9.35:200
47,0:-245:9.20:200
48,0:-250:9.85:200
49,0:-255:9.91:200
50,0:-260:10.01:200
51,0:-265:9.94:200
52,0:-271:9.38:200
53,0:-276:9.44:200
54,0:-281:9.58:200
55,0:-286:9.99:200
56,0:-291:10.16:200
57,0:-297:9.85:200
58,0:-302:9.46:200
59,0:-307:9.55:200
60,0:-312:9.57:200
61,0:-317:9.82:200
62,0:-322:10.41:200
63,0:-328:9.60:200
64,0:-333:9.68:200
65,0:-338:9.48:200
66,0:-343:9.41:200
67,0:-348:9.68:200
68,0:-354:10.36:200
69,0:-359:9.73:200
70,0:-364:9.64:200
71,0:-369:9.38:200
72,0:-374:9.60:200
73,0:-380:9.55:200
74,0:-385:10.17:200
75,0:-390:9.67:200
76,0:-395:9.71:200
77,0:-400:9.37:124
78,0:-400:9.38:124
79,0:-400:9.55:124
80,0:-400:9.61:124
81,0:-400:9.46:124
82,0:-400:9.43:124
83,0:-400:9.53:124
84,0:-400:9.60:124
85,0:-400:9.43:124
86,0:-400:9.43:124
87,0:-400:9.47:124
88,0:-400:9.40:124
89,0:-400:9.57:124
90,0:-400:9.37:124
91,0:-400:9.45:124
92,0:-400:9.45:124
93,0:-400:9.51:124
94,0:-400:9.62:124
95,0:-400:9.48:124
96,0:-400:9.50:124
97,0:-400:9.38:124
98,0:-400:9.61:124
99,0:-400:9.45:124
100,0:-400:9.45:124
101,0:-400:9.56:124
102,0:-400:9.32:124
103,0:-400:9.46:124
104,0:-400:9.43:124
105,0:-400:9.45:124
106,0:-400:9.42:124
107,0:-400:9.44:124
108,0:-400:9.48:124
109,0:-400:9.41:124
110,0:-400:9.52:124
111,0:-400:9.46:124
112,0:-400:9.53:124
113,0:-400:9.60:124
114,0:-400:9.46:124
115,0:-400:9.39:124
116,0:-397:9.41:124
117,0:-394:9.33:124
118,0:-391:9.85:124
119,0:-387:9.91:124
120,0:-384:10.01:124
121,0:-381:10.43:124
122,0:-378:9.68:124
123,0:-375:9.58:124
124,0:-371:9.98:124
125,0:-368:9.26:124
126,0:-365:9.34:124
127,0:-362:9.35:124
128,0:-359:9.73:124
129,0:-355:9.74:124
130,0:-352:9.98:124
131,0:-349:10.21:124
132,0:-346:9.62:124
133,0:-342:9.66:124
134,0:-339:9.63:124
135,0:-336:9.29:124
136,0:-333:9.57:124
137,0:-330:9.28:124
138,0:-326:9.67:124
139,0:-323:9.62:124
140,0:-320:10.08:124
141,0:-317:10.34:124
142,0:-313:9.76:124
143,0:-310:9.79:124
144,0:-307:9.76:124
145,0:-304:9.20:124
146,0:-301:9.39:124
147,0:-297:9.35:124
148,0:-294:9.88:124
149,0:-291:9.61:124
150,0:-288:10.02:124
151,0:-285:10.21:124
152,0:-281:9.70:124
153,0:-278:9.71:124
154,0:-275:9.57:124
155,0:-272:9.17:124
156,0:-268:9.47:124
157,0:-265:9.31:124
158,0:-262:9.81:124
159,0:-259:9.61:124
160,0:-256:10.22:124
161,0:-252:10.08:124
162,0:-249:9.53:124
163,0:-246:9.69:124
164,0:-243:9.58:124
165,0:-239:9.40:124
166,0:-236:9.44:124
167,0:-233:9.50:124
168,0:-230:9.88:124
169,0:-227:9.56:124
170,0:-223:10.33:124
171,0:-220:10.42:124
172,0:-217:9.63:124
173,0:-214:9.64:124
174,0:-211:9.40:124
175,0:-207:9.52:124
176,0:-204:9.55:124
177,0:-201:9.15:124
178,0:-198:9.73:124
179,0:-194:9.57:124
180,0:-191:10.23:124
181,0:-188:10.17:124
182,0:-185:9.58:124
183,0:-182:9.74:124
184,0:-178:9.47:124
185,0:-175:9.53:124
186,0:-172:9.48:124
187,0:-169:9.48:124
188,0:-165:9.63:124
189,0:-162:9.64:124
190,0:-159:10.37:124
191,0:-156:10.28:124
192,0:-153:9.47:124
193,0:-149:9.85:124
194,0:-146:9.49:124
195,0:-143:9.49:124
196,0:-140:9.63:124
197,0:-137:9.48:124
198,0:-133:9.69:124
199,0:-130:9.53:124
200,0:-127:10.36:124
201,0:-124:10.46:124
202,0:-120:9.50:124
203,0:-117:9.90:124
204,0:-114:9.40:124
205,0:-111:9.62:124
206,0:-108:9.56:124
207,0:-104:9.29:124
208,0:-101:9.68:124
209,0:-98:9.62:124
210,0:-95:10.34:124
211,0:-91:10.15:124
212,0:-88:9.52:124
213,0:-85:9.80:124
214,0:-82:9.42:124
215,0:-79:9.47:124
216,0:-75:9.57:124
217,0:-72:9.50:124
218,0:-69:9.93:124
219,0:-66:9.76:124
220,0:-63:10.39:124
221,0:-59:10.18:124
222,0:-56:9.40:124
223,0:-53:9.92:124
224,0:-50:9.43:124
225,0:-46:9.43:124
226,0:-43:9.54:124
227,0:-40:9.45:124
228,0:-37:9.74:124
229,0:-34:9.71:124
230,0:-30:10.48:124
231,0:-27:10.04:124
232,0:-24:9.54:124
233,0:-21:9.79:124
234,0:-17:9.31:124
235,0:-14:9.61:124
236,0:-11:9.48:124
237,0:-8:9.64:124
238,0:-5:9.92:124
239,0:-1:9.68:124
240,0:0:10.26:124
241,0:0:10.31:124
242,0:0:10.43:124
243,0:0:10.54:124
