Index,Data
0,
1,0:-1:218.00
2,0:-13:223.85
3,0:-26:224.21
4,0:-39:224.59
5,0:-52:225.31
6,0:-65:225.74
7,0:-78:226.81
8,0:-91:227.47
9,0:-104:228.53
10,0:-117:229.43
11,0:-130:230.68
12,0:-143:231.37
13,0:-156:232.24
14,0:-169:233.40
15,0:-182:234.38
16,0:-195:235.38
17,0:-208:236.01
18,0:-221:237.17
19,0:-234:237.89
20,0:-247:238.40
21,0:-260:239.00
22,0:-273:239.69
23,0:-286:240.38
24,0:-299:240.62
25,0:-312:241.00
26,0:-325:241.49
27,0:-338:241.72
28,0:-351:242.15
29,0:-364:242.13
30,0:-377:242.38
31,0:-390:242.24
32,0:-400:242.56
33,0:-400:242.74
34,0:-400:242.92
35,0:-400:243.21
36,0:-400:243.23
37,0:-400:243.39
38,0:-400:243.55
39,0:-400:243.59
40,0:-400:243.39
41,0:-400:243.85
42,0:-400:243.90
43,0:-400:243.74
44,0:-400:243.87
45,0:-400:243.84
46,0:-400:244.03
47,0:-400:243.87
48,0:-400:244.06
49,0:-400:244.01
50,0:-400:244.01
51,0:-400:244.19
52,0:-400:244.18
53,0:-400:244.27
54,0:-400:244.30
55,0:-400:244.31
56,0:-400:244.22
57,0:-400:244.31
58,0:-400:244.13
59,0:-400:244.21
60,0:-400:244.58
61,0:-400:244.32
62,0:-400:244.44
63,0:-400:244.39
64,0:-400:244.57
65,0:-400:244.33
66,0:-400:244.61
67,0:-400:244.46
68,0:-400:244.36
69,0:-400:244.52
70,0:-400:244.40
71,0:-389:244.54
72,0:-376:244.52
73,0:-363:244.86
74,0:-350:245.08
75,0:-337:245.07
76,0:-324:245.19
77,0:-311:245.22
78,0:-298:245.31
79,0:-285:244.93
80,0:-272:245.04
81,0:-259:244.71
82,0:-246:244.25
83,0:-233:243.90
84,0:-220:243.19
85,0:-207:242.71
86,0:-194:242.01
87,0:-181:241.21
88,0:-168:240.23
89,0:-155:239.38
90,0:-143:238.07
91,0:-130:237.28
92,0:-117:235.65
93,0:-104:234.34
94,0:-91:232.86
95,0:-78:231.37
96,0:-65:229.63
97,0:-52:227.86
98,0:-39:225.96
99,0:-26:223.76
100,0:-13:221.62
101,0:0:219.52
102,0:0:218.26
103,0:0:217.96
104,0:0:217.65
105,0:0:217.92
106,0:0:217.78
107,0:0:217.81
108,0:0:218.01
109,0:0:218.00
110,0:0:218.11
111,0:0:218.16
112,0:0:218.05
113,0:0:218.25
114,0:0:218.41
115,0:0:218.31
116,0:0:218.32
117,0:0:218.46
118,0:0:218.32
119,0:0:218.47
120,0:0:218.53
121,0:0:218.85
122,0:0:218.61
123,0:0:218.76
124,0:0:218.96
125,0:0:218.70
126,0:0:218.84
127,0:0:218.76
128,0:0:219.07
129,0:0:218.86
130,0:0:218.99
131,0:0:218.88
