Index,Data
0,
1,0:-1:7.00
2,0:-13:5.37
3,0:-26:5.46
4,0:-39:5.47
5,0:-52:5.28
6,0:-65:5.58
7,0:-78:5.29
8,0:-91:5.58
9,0:-104:5.37
10,0:-117:5.42
11,0:-130:5.63
12,0:-143:5.31
13,0:-156:5.61
14,0:-169:5.29
15,0:-182:5.45
16,0:-195:5.48
17,0:-208:5.41
18,0:-221:5.44
19,0:-234:5.48
20,0:-247:5.41
21,0:-260:5.47
22,0:-273:5.35
23,0:-286:5.48
24,0:-299:5.55
25,0:-312:5.17
26,0:-325:5.49
27,0:-338:5.30
28,0:-351:5.44
29,0:-364:5.34
30,0:-377:5.31
31,0:-390:5.41
32,0:-400:5.26
33,0:-400:5.34
34,0:-400:5.33
35,0:-400:5.42
36,0:-400:5.43
37,0:-400:5.40
38,0:-400:5.43
39,0:-400:5.36
40,0:-400:5.45
41,0:-400:5.30
42,0:-400:5.39
43,0:-400:5.27
44,0:-400:5.32
45,0:-400:5.53
46,0:-400:5.29
47,0:-400:5.41
48,0:-400:5.33
49,0:-400:5.49
50,0:-400:5.34
51,0:-400:5.40
52,0:-400:5.33
53,0:-400:5.31
54,0:-400:5.43
55,0:-400:5.23
56,0:-400:5.34
57,0:-400:5.27
58,0:-400:5.46
59,0:-400:5.37
60,0:-400:5.47
61,0:-400:5.36
62,0:-400:5.24
63,0:-400:5.40
64,0:-400:5.23
65,0:-400:5.43
66,0:-400:5.29
67,0:-400:5.49
68,0:-400:5.39
69,0:-400:5.30
70,0:-400:5.34
71,0:-389:5.18
72,0:-376:5.37
73,0:-363:5.37
74,0:-350:5.29
75,0:-337:5.22
76,0:-324:5.32
77,0:-311:5.37
78,0:-298:5.20
79,0:-285:5.36
80,0:-272:5.31
81,0:-259:5.30
82,0:-246:5.28
83,0:-233:5.42
84,0:-220:5.36
85,0:-207:5.38
86,0:-194:5.24
87,0:-181:5.40
88,0:-168:5.48
89,0:-155:5.25
90,0:-143:5.57
91,0:-130:5.27
92,0:-117:5.44
93,0:-104:5.25
94,0:-91:5.52
95,0:-78:5.64
96,0:-65:5.34
97,0:-52:5.72
98,0:-39:5.39
99,0:-26:5.65
100,0:-13:5.67
101,0:0:5.49
102,0:0:5.74
103,0:0:5.59
104,0:0:5.84
105,0:0:5.63
106,0:0:5.82
107,0:0:5.70
108,0:0:5.68
109,0:0:5.63
110,0:0:5.72
111,0:0:5.76
112,0:0:5.60
113,0:0:5.74
114,0:0:5.66
115,0:0:5.84
116,0:0:5.73
117,0:0:5.79
118,0:0:5.69
119,0:0:5.62
120,0:0:5.80
121,0:0:5.61
122,0:0:5.77
123,0:0:5.73
124,0:0:5.76
125,0:0:5.70
126,0:0:5.78
127,0:0:5.71
128,0:0:5.76
129,0:0:5.76
130,0:0:5.69
131,0:0:5.79
132,0:0:5.62
133,0:0:5.75
134,0:0:5.74
135,0:0:5.72
136,0:0:5.71
137,0:0:5.64
138,0:0:5.79
139,0:0:5.67
140,1:-8:5.66
141,1:-21:5.50
142,1:-34:5.78
143,1:-47:5.41
144,1:-60:5.64
145,1:-73:5.59
146,1:-86:5.46
147,1:-99:5.53
148,1:-112:5.40
149,1:-125:5.70
150,1:-138:5.41
151,1:-151:5.48
152,1:-164:5.53
153,1:-177:5.34
154,1:-190:5.59
155,1:-203:5.30
156,1:-216:5.49
157,1:-229:5.43
158,1:-242:5.39
159,1:-255:5.37
160,1:-268:5.34
161,1:-281:5.40
162,1:-294:5.40
163,1:-307:5.22
164,1:-320:5.32
165,1:-333:5.44
166,1:-346:5.42
167,1:-359:5.40
168,1:-372:5.20
169,1:-385:5.37
170,1:-398:5.27
171,1:-400:5.34
172,1:-400:5.40
173,1:-400:5.27
174,1:-400:5.53
175,1:-400:5.28
176,1:-400:5.39
177,1:-400:5.35
178,1:-400:5.17
179,1:-400:5.36
180,1:-400:5.33
181,1:-400:5.40
182,1:-400:5.32
183,1:-400:5.31
184,1:-400:5.23
185,1:-400:5.29
186,1:-400:5.33
187,1:-400:5.21
188,1:-400:5.46
189,1:-400:5.34
190,1:-400:5.29
191,1:-400:5.12
192,1:-400:5.39
193,1:-400:5.24
194,1:-400:5.32
195,1:-400:5.41
196,1:-400:5.23
197,1:-400:5.35
198,1:-400:5.33
199,1:-400:5.40
200,1:-400:5.27
201,1:-400:5.35
202,1:-400:5.24
203,1:-400:5.30
204,1:-400:5.36
205,1:-400:5.13
206,1:-400:5.48
207,1:-400:5.27
208,1:-400:5.37
209,1:-394:5.23
210,1:-381:5.34
211,1:-368:5.27
212,1:-355:5.10
213,1:-342:5.36
214,1:-329:5.10
215,1:-316:5.37
216,1:-303:5.33
217,1:-290:5.20
218,1:-277:5.35
219,1:-264:5.31
220,1:-251:5.34
221,1:-238:5.24
222,1:-225:5.27
223,1:-212:5.39
224,1:-199:5.28
225,1:-186:5.25
226,1:-173:5.42
227,1:-160:5.38
228,1:-147:5.49
229,1:-135:5.29
230,1:-122:5.24
231,1:-109:5.54
232,1:-96:5.27
233,1:-83:5.58
234,1:-70:5.35
235,1:-57:5.66
236,1:-44:5.67
237,1:-31:5.47
238,1:-18:5.73
239,1:-5:5.51
240,1:0:5.71
241,1:0:5.84
242,1:0:5.80
243,1:0:5.70
244,1:0:5.75
245,1:0:5.72
246,1:0:5.68
247,1:0:5.75
248,1:0:5.82
249,1:0:5.87
250,1:0:5.65
251,1:0:5.84
252,1:0:5.72
253,1:0:5.75
254,1:0:5.79
255,1:0:5.57
256,1:0:5.74
257,1:0:5.74
258,1:0:5.79
259,1:0:5.70
260,1:0:5.74
261,1:0:5.84
262,1:0:5.68
263,1:0:5.78
264,1:0:5.65
265,1:0:5.85
266,1:0:5.68
267,1:0:5.78
268,1:0:5.76
269,1:0:5.82
270,1:0:5.76
271,1:0:5.71
272,1:0:5.78
273,1:0:5.68
274,1:0:5.77
275,1:0:5.65
276,1:0:5.78
277,1:0:5.69
278,2:-3:5.71
279,2:-16:5.65
280,2:-29:5.60
281,2:-42:5.70
282,2:-55:5.40
283,2:-68:5.62
284,2:-81:5.43
285,2:-94:5.52
286,2:-107:5.50
287,2:-120:5.48
288,2:-133:5.59
289,2:-146:5.41
290,2:-159:5.59
291,2:-172:5.34
292,2:-185:5.53
293,2:-198:5.43
294,2:-211:5.47
295,2:-224:5.38
296,2:-237:5.22
297,2:-250:5.43
298,2:-263:5.23
299,2:-276:5.39
300,2:-289:5.37
301,2:-302:5.26
302,2:-315:5.39
303,2:-328:5.39
304,2:-341:5.21
305,2:-354:5.34
306,2:-367:5.45
307,2:-380:5.32
308,2:-393:5.46
309,2:-400:5.30
310,2:-400:5.30
311,2:-400:5.48
312,2:-400:5.41
313,2:-400:5.34
314,2:-400:5.41
315,2:-400:5.40
316,2:-400:5.38
317,2:-400:5.34
318,2:-400:5.28
319,2:-400:5.36
320,2:-400:5.48
321,2:-400:5.31
322,2:-400:5.45
323,2:-400:5.29
324,2:-400:5.31
325,2:-400:5.20
326,2:-400:5.40
327,2:-400:5.27
328,2:-400:5.31
329,2:-400:5.42
330,2:-400:5.29
331,2:-400:5.32
332,2:-400:5.19
333,2:-400:5.37
334,2:-400:5.34
335,2:-400:5.51
336,2:-400:5.42
337,2:-400:5.34
338,2:-400:5.28
339,2:-400:5.26
340,2:-400:5.35
341,2:-400:5.31
342,2:-400:5.35
343,2:-400:5.26
344,2:-400:5.38
345,2:-400:5.36
346,2:-400:5.23
347,2:-399:5.37
348,2:-386:5.11
349,2:-373:5.33
350,2:-360:5.22
