Index,Data
0,
1,0:-1:222.00
2,0:-7:217.16
3,0:-13:217.36
4,0:-20:217.38
5,0:-26:217.41
6,0:-33:217.48
7,0:-39:217.45
8,0:-46:217.62
9,0:-52:217.46
10,0:-59:217.63
11,0:-65:217.62
12,0:-72:217.84
13,0:-78:217.97
14,0:-85:218.32
15,0:-91:218.56
16,0:-98:218.62
17,0:-104:219.14
18,0:-111:219.24
19,0:-117:219.50
20,0:-124:219.82
21,0:-130:220.20
22,0:-137:220.53
23,0:-143:220.92
24,0:-150:221.27
25,0:-156:221.60
26,0:-163:221.96
27,0:-169:222.40
28,0:-176:222.97
29,0:-182:223.29
30,0:-189:223.69
31,0:-195:224.02
32,0:-202:224.49
33,0:-208:224.93
34,0:-215:225.24
35,0:-221:225.78
36,0:-228:226.19
37,0:-234:226.52
38,0:-241:226.85
39,0:-247:227.33
40,0:-254:227.80
41,0:-260:228.15
42,0:-267:228.47
43,0:-273:228.85
44,0:-280:229.11
45,0:-286:229.39
46,0:-293:229.63
47,0:-299:229.94
48,0:-306:230.24
49,0:-312:230.55
50,0:-319:230.76
51,0:-325:231.08
52,0:-331:231.30
53,0:-338:231.39
54,0:-344:231.64
55,0:-351:231.69
56,0:-357:232.07
57,0:-364:232.30
58,0:-370:232.34
59,0:-377:232.38
60,0:-383:232.56
61,0:-390:232.61
62,0:-396:232.77
63,0:-400:232.81
64,0:-400:232.89
65,0:-400:233.28
66,0:-400:233.28
67,0:-400:233.44
68,0:-400:233.53
69,0:-400:233.82
70,0:-400:233.84
71,0:-400:233.86
72,0:-400:233.96
73,0:-400:233.97
74,0:-400:234.03
75,0:-400:234.04
76,0:-400:234.12
77,0:-400:234.30
78,0:-400:234.27
79,0:-400:234.37
80,0:-400:234.42
81,0:-400:234.42
82,0:-400:234.61
83,0:-400:234.54
84,0:-400:234.58
85,0:-400:234.55
86,0:-400:234.68
87,0:-400:234.77
88,0:-400:234.78
89,0:-400:234.67
90,0:-400:234.73
91,0:-400:234.72
92,0:-400:234.73
93,0:-400:234.75
94,0:-400:234.94
95,0:-400:234.89
96,0:-400:235.01
97,0:-400:235.08
98,0:-400:235.07
99,0:-400:235.11
100,0:-400:235.04
101,0:-399:235.06
102,0:-393:235.04
103,0:-386:235.25
104,0:-380:235.26
105,0:-373:235.30
106,0:-367:235.38
107,0:-360:235.63
108,0:-354:235.65
109,0:-347:235.70
110,0:-341:235.78
111,0:-334:235.67
112,0:-328:235.90
113,0:-321:235.88
114,0:-315:235.98
115,0:-308:235.91
116,0:-302:235.81
117,0:-295:235.82
118,0:-289:235.73
119,0:-282:235.77
120,0:-276:235.57
121,0:-269:235.41
122,0:-263:235.30
123,0:-256:235.04
124,0:-250:234.90
125,0:-243:234.52
126,0:-237:234.38
127,0:-230:234.08
128,0:-224:233.85
129,0:-217:233.46
130,0:-211:233.15
131,0:-204:232.79
132,0:-198:232.33
133,0:-191:231.98
134,0:-185:231.74
135,0:-178:231.20
136,0:-172:230.77
137,0:-165:230.30
138,0:-159:229.79
139,0:-152:229.26
140,0:-146:228.73
141,0:-139:228.07
142,0:-133:227.42
143,0:-126:226.94
144,0:-120:226.20
145,0:-113:225.55
146,0:-107:224.71
147,0:-100:223.94
148,0:-94:223.02
149,0:-87:222.22
150,0:-81:221.32
151,0:-75:220.50
152,0:-68:219.70
153,0:-62:218.62
154,0:-55:217.96
155,0:-49:216.85
156,0:-42:215.99
157,0:-36:215.23
158,0:-29:214.21
159,0:-23:213.66
160,0:-16:212.63
161,0:-10:211.82
162,0:-3:210.73
163,0:0:210.21
164,0:0:209.87
165,0:0:209.78
166,0:0:209.73
167,0:0:209.69
168,0:0:209.89
169,0:0:209.79
170,0:0:209.88
171,0:0:209.78
172,0:0:209.79
173,0:0:209.91
174,0:0:209.88
175,0:0:209.87
176,0:0:209.97
177,0:0:209.99
178,0:0:210.06
179,0:0:210.06
180,0:0:210.10
181,0:0:210.18
182,0:0:210.17
183,0:0:210.25
184,0:0:210.31
185,0:0:210.34
186,0:0:210.43
187,0:0:210.38
188,0:0:210.50
189,0:0:210.57
190,0:0:210.40
191,0:0:210.49
192,0:0:210.49
193,0:0:210.61
194,0:0:210.64
195,0:0:210.54
196,0:0:210.79
197,0:0:210.65
198,0:0:210.83
199,0:0:210.67
200,0:0:210.72
201,1:-1:210.80
202,1:-8:210.97
203,1:-14:211.34
204,1:-21:211.55
205,1:-27:211.95
206,1:-34:212.29
207,1:-40:212.48
208,1:-47:212.89
209,1:-53:213.24
210,1:-60:213.66
211,1:-66:214.10
212,1:-73:214.61
213,1:-79:215.30
214,1:-86:215.78
215,1:-92:216.40
216,1:-99:216.92
217,1:-105:217.55
218,1:-112:218.18
219,1:-118:218.82
220,1:-125:219.38
221,1:-131:220.04
222,1:-138:220.58
223,1:-144:221.19
224,1:-151:221.85
225,1:-157:222.49
226,1:-164:223.04
227,1:-170:223.60
228,1:-177:224.15
229,1:-183:224.66
230,1:-190:225.13
231,1:-196:225.70
232,1:-203:226.35
233,1:-209:226.82
234,1:-216:227.31
235,1:-222:227.76
236,1:-229:228.19
237,1:-235:228.66
238,1:-242:229.13
