Index,Data
0,
1,0:-1:420.00
2,0:-6:425.43
3,0:-11:424.95
4,0:-16:425.35
5,0:-21:424.71
6,0:-26:424.88
7,0:-32:424.51
8,0:-37:423.72
9,0:-42:423.87
10,0:-47:423.09
11,0:-52:423.02
12,0:-58:422.37
13,0:-63:422.17
14,0:-68:421.62
15,0:-73:421.24
16,0:-78:420.73
17,0:-84:420.66
18,0:-89:420.23
19,0:-94:419.79
20,0:-99:419.48
21,0:-104:419.14
22,0:-110:419.31
23,0:-115:418.83
24,0:-120:418.73
25,0:-125:418.71
26,0:-130:418.41
27,0:-136:418.53
28,0:-141:418.12
29,0:-146:418.37
30,0:-151:418.21
31,0:-156:418.18
32,0:-161:417.84
33,0:-167:417.96
34,0:-172:417.93
35,0:-177:417.93
36,0:-182:417.89
37,0:-187:417.78
38,0:-193:418.17
39,0:-198:417.89
40,0:-203:417.66
41,0:-208:417.86
42,0:-213:417.84
43,0:-219:418.29
44,0:-224:417.88
45,0:-229:418.44
46,0:-234:418.10
47,0:-239:418.24
48,0:-245:418.25
49,0:-250:418.36
50,0:-255:418.35
51,0:-260:418.31
52,0:-265:418.50
53,0:-271:418.53
54,0:-276:418.44
55,0:-281:418.44
56,0:-286:418.81
57,0:-291:419.11
58,0:-296:418.73
59,0:-302:418.93
60,0:-307:418.78
61,0:-312:419.15
62,0:-317:419.27
63,0:-322:419.28
64,0:-328:419.10
65,0:-333:419.23
66,0:-338:419.57
67,0:-343:419.44
68,0:-348:419.38
69,0:-354:419.55
70,0:-359:419.72
71,0:-364:419.91
72,0:-369:419.86
73,0:-374:419.88
74,0:-380:419.91
75,0:-385:420.23
76,0:-390:420.08
77,0:-395:420.48
78,0:-400:420.28
79,0:-400:420.64
80,0:-400:420.46
81,0:-400:421.26
82,0:-400:420.63
83,0:-400:421.01
84,0:-400:421.35
85,0:-400:421.19
86,0:-400:421.08
87,0:-400:421.62
88,0:-400:421.39
89,0:-400:421.39
90,0:-400:422.06
91,0:-400:421.92
92,0:-400:422.09
93,0:-400:422.28
94,0:-400:422.19
95,0:-400:422.74
96,0:-400:422.07
97,0:-400:422.70
98,0:-400:422.43
99,0:-400:422.90
100,0:-400:422.83
101,0:-400:422.77
102,0:-400:422.88
103,0:-400:422.43
104,0:-400:422.97
105,0:-400:422.89
106,0:-400:422.88
107,0:-400:423.14
108,0:-400:422.87
109,0:-400:423.22
110,0:-400:423.06
111,0:-400:423.27
112,0:-400:423.28
113,0:-400:423.27
114,0:-400:423.27
115,0:-400:423.36
116,0:-400:423.42
117,0:-396:423.21
118,0:-391:423.73
119,0:-385:423.69
120,0:-380:424.00
121,0:-375:424.04
122,0:-370:424.16
123,0:-365:424.09
124,0:-359:424.09
125,0:-354:424.30
126,0:-349:424.41
127,0:-344:424.71
128,0:-339:424.80
129,0:-333:424.87
130,0:-328:424.86
131,0:-323:425.03
132,0:-318:425.33
133,0:-313:424.96
134,0:-307:425.20
135,0:-302:425.18
136,0:-297:425.29
137,0:-292:425.45
138,0:-287:425.38
139,0:-281:425.45
140,0:-276:425.57
141,0:-271:425.46
142,0:-266:425.14
143,0:-261:425.39
144,0:-256:425.02
145,0:-250:425.28
146,0:-245:425.38
147,0:-240:425.07
148,0:-235:424.87
149,0:-230:424.45
150,0:-224:424.57
151,0:-219:424.56
152,0:-214:424.17
153,0:-209:423.94
154,0:-204:423.71
155,0:-198:423.75
156,0:-193:423.05
157,0:-188:422.77
158,0:-183:422.37
159,0:-178:422.20
160,0:-172:421.63
161,0:-167:421.74
162,0:-162:420.69
163,0:-157:420.42
164,0:-152:420.01
165,0:-146:419.22
166,0:-141:419.02
167,0:-136:418.26
168,0:-131:417.83
