Index,Data
0,0:-1:502.00
1,0:-6:497.65
2,0:-11:497.46
3,0:-16:497.42
4,0:-21:497.45
5,0:-26:497.27
6,0:-32:497.08
7,0:-37:496.71
8,0:-42:496.38
9,0:-47:496.20
10,0:-52:495.68
11,0:-58:495.31
12,0:-63:495.30
13,0:-68:494.39
14,0:-73:494.34
15,0:-78:493.60
16,0:-84:493.13
17,0:-89:492.93
18,0:-94:492.67
19,0:-99:492.35
20,0:-104:491.96
21,0:-110:491.58
22,0:-115:491.24
23,0:-120:490.73
24,0:-125:490.55
25,0:-130:490.33
26,0:-136:490.00
27,0:-141:489.74
28,0:-146:489.75
29,0:-151:489.58
30,0:-156:489.40
31,0:-161:489.32
32,0:-167:488.93
33,0:-172:488.83
34,0:-177:488.80
35,0:-182:488.77
36,0:-187:488.81
37,0:-193:488.64
38,0:-198:488.52
39,0:-203:488.67
40,0:-208:488.63
41,0:-213:488.38
42,0:-219:488.58
43,0:-224:488.43
44,0:-229:488.71
45,0:-234:488.63
46,0:-239:488.43
47,0:-245:488.69
48,0:-250:488.97
49,0:-255:489.26
50,0:-260:489.43
51,0:-265:489.30
52,0:-271:489.57
53,0:-276:489.67
54,0:-281:489.94
55,0:-286:490.26
56,0:-291:490.32
57,0:-296:490.66
58,0:-302:490.66
59,0:-307:491.14
60,0:-312:491.30
61,0:-317:491.28
62,0:-322:491.59
63,0:-328:491.96
64,0:-333:491.98
65,0:-338:492.60
66,0:-343:492.51
67,0:-348:493.21
68,0:-354:493.07
69,0:-359:493.55
70,0:-364:493.86
71,0:-369:493.99
72,0:-374:494.33
73,0:-380:494.62
74,0:-385:495.02
75,0:-390:495.21
76,0:-395:495.38
77,0:-400:495.58
78,0:-400:495.93
79,0:-400:496.42
80,0:-400:496.78
81,0:-400:497.15
82,0:-400:497.36
83,0:-400:497.57
84,0:-400:497.98
85,0:-400:498.19
86,0:-400:498.41
87,0:-400:498.55
88,0:-400:498.60
89,0:-400:498.79
90,0:-400:499.01
91,0:-400:499.14
92,0:-400:499.26
93,0:-400:499.41
94,0:-400:499.51
95,0:-400:499.57
96,0:-400:499.77
97,0:-400:499.99
98,0:-400:499.99
99,0:-400:500.25
100,0:-400:500.22
101,0:-400:500.47
102,0:-400:500.56
103,0:-400:500.61
104,0:-400:500.51
105,0:-400:500.70
106,0:-400:500.93
107,0:-400:500.87
108,0:-400:500.96
109,0:-400:500.93
110,0:-400:501.06
111,0:-400:501.20
112,0:-400:501.18
113,0:-400:501.33
114,0:-400:501.41
115,0:-400:501.45
116,0:-396:501.51
117,0:-391:501.73
118,0:-385:501.79
119,0:-380:501.94
120,0:-375:502.11
121,0:-370:502.30
122,0:-365:502.33
123,0:-359:502.38
124,0:-354:502.75
125,0:-349:502.83
126,0:-344:502.95
127,0:-339:502.78
128,0:-333:503.25
129,0:-328:503.20
130,0:-323:503.30
131,0:-318:503.37
132,0:-313:503.30
133,0:-307:503.05
134,0:-302:503.23
135,0:-297:503.06
136,0:-292:503.17
137,0:-287:503.03
138,0:-281:502.89
139,0:-276:502.69
140,0:-271:502.65
141,0:-266:502.42
142,0:-261:502.19
143,0:-256:501.87
144,0:-250:501.73
145,0:-245:501.49
146,0:-240:501.20
147,0:-235:501.01
148,0:-230:500.32
149,0:-224:500.09
150,0:-219:499.58
151,0:-214:499.20
152,0:-209:498.76
153,0:-204:498.17
154,0:-198:497.65
155,0:-193:497.23
156,0:-188:496.64
157,0:-183:496.12
158,0:-178:495.41
159,0:-172:494.73
160,0:-167:493.90
161,0:-162:493.33
162,0:-157:492.64
163,0:-152:492.01
164,0:-146:491.33
165,0:-141:490.67
166,0:-136:489.96
167,0:-131:489.04
168,0:-126:488.50
169,0:-121:487.55
170,0:-115:486.96
171,0:-110:486.29
172,0:-105:485.58
173,0:-100:484.84
174,0:-95:484.09
175,0:-89:483.18
176,0:-84:482.83
177,0:-79:482.28
178,0:-74:481.51
179,0:-69:480.99
180,0:-63:480.36
181,0:-58:479.81
182,0:-53:479.06
183,0:-48:478.45
184,0:-43:477.66
185,0:-37:477.44
186,0:-32:476.61
187,0:-27:476.04
188,0:-22:475.47
189,0:-17:474.80
190,0:-11:474.07
191,0:-6:473.59
192,0:-1:472.92
193,0:0:472.62
194,0:0:472.46
195,0:0:472.78
196,0:0:472.94
197,0:0:473.21
198,0:0:473.31
199,0:0:473.53
200,0:0:473.69
201,0:0:473.88
202,0:0:474.20
203,0:0:474.25
204,0:0:474.60
205,0:0:474.58
206,0:0:474.83
207,0:0:474.99
208,0:0:475.20
209,0:0:475.14
210,0:0:475.28
211,0:0:475.45
212,0:0:475.70
213,0:0:475.70
214,0:0:475.86
215,0:0:475.88
216,0:0:476.02
217,0:0:476.09
218,0:0:476.30
219,0:0:476.40
220,0:0:476.54
221,0:0:476.64
222,0:0:476.69
223,0:0:476.97
224,0:0:476.85
225,0:0:476.89
226,0:0:477.11
227,0:0:477.24
228,0:0:477.31
229,0:0:477.20
230,0:0:477.37
231,1:-3:477.43
232,1:-8:477.56
233,1:-13:477.87
234,1:-18:478.40
235,1:-24:478.81
236,1:-29:478.97
237,1:-34:479.23
238,1:-39:479.61
239,1:-44:479.84
240,1:-50:480.14
241,1:-55:480.37
242,1:-60:480.78
243,1:-65:480.80
244,1:-70:481.09
245,1:-76:481.44
246,1:-81:481.70
247,1:-86:482.17
248,1:-91:482.48
249,1:-96:482.62
250,1:-102:483.04
251,1:-107:483.35
252,1:-112:483.76
253,1:-117:484.14
254,1:-122:484.62
255,1:-128:485.02
256,1:-133:485.34
257,1:-138:485.82
258,1:-143:486.48
259,1:-148:486.85
260,1:-153:487.15
261,1:-159:487.83
262,1:-164:488.22
263,1:-169:488.76
264,1:-174:488.97
265,1:-179:489.84
266,1:-185:490.42
267,1:-190:490.82
268,1:-195:491.27
269,1:-200:491.81
270,1:-205:492.13
271,1:-211:492.77
272,1:-216:493.19
273,1:-221:493.58
274,1:-226:494.12
275,1:-231:494.44
276,1:-237:494.90
277,1:-242:495.49
278,1:-247:495.79
279,1:-252:496.35
280,1:-257:496.72
281,1:-263:497.09
282,1:-268:497.42
283,1:-273:497.83
284,1:-278:498.25
285,1:-283:498.30
286,1:-288:498.85
287,1:-294:499.05
288,1:-299:499.47
289,1:-304:499.56
290,1:-309:499.77
291,1:-314:500.31
292,1:-320:500.61
293,1:-325:500.87
294,1:-330:501.27
295,1:-335:501.31
296,1:-340:501.68
297,1:-346:501.78
298,1:-351:501.98
299,1:-356:502.38
300,1:-361:502.47
301,1:-366:502.30
302,1:-372:502.72
303,1:-377:502.72
304,1:-382:503.01
305,1:-387:503.11
306,1:-392:503.33
307,1:-398:503.58
308,1:-400:503.46
309,1:-400:503.86
310,1:-400:504.13
311,1:-400:504.50
312,1:-400:504.57
313,1:-400:504.83
314,1:-400:505.02
315,1:-400:505.07
316,1:-400:505.33
317,1:-400:505.23
318,1:-400:505.50
319,1:-400:505.48
320,1:-400:505.84
321,1:-400:505.70
322,1:-400:505.85
323,1:-400:506.06
324,1:-400:506.13
325,1:-400:506.30
326,1:-400:506.33
327,1:-400:506.19
328,1:-400:506.39
329,1:-400:506.44
330,1:-400:506.57
331,1:-400:506.73
