Index,Data
0,0:-1:335.00
1,0:-6:330.83
2,0:-11:330.87
3,0:-16:330.95
4,0:-21:331.14
5,0:-26:331.26
6,0:-32:331.25
7,0:-37:331.36
8,0:-42:331.45
9,0:-47:331.57
10,0:-52:331.67
11,0:-58:331.76
12,0:-63:331.75
13,0:-68:331.79
14,0:-73:331.93
15,0:-78:332.12
16,0:-84:332.10
17,0:-89:332.11
18,0:-94:332.29
19,0:-99:332.34
20,0:-104:332.54
21,0:-110:332.54
22,0:-115:332.72
23,0:-120:332.97
24,0:-125:332.99
25,0:-130:332.95
26,0:-136:333.14
27,0:-141:333.19
28,0:-146:333.32
29,0:-151:333.54
30,0:-156:333.73
31,0:-161:333.84
32,0:-167:334.03
33,0:-172:334.16
34,0:-177:334.33
35,0:-182:334.60
36,0:-187:334.94
37,0:-193:335.22
38,0:-198:335.45
39,0:-203:335.86
40,0:-208:336.07
41,0:-213:336.38
42,0:-219:336.80
43,0:-224:337.12
44,0:-229:337.54
45,0:-234:337.86
46,0:-239:338.21
47,0:-245:338.77
48,0:-250:339.10
49,0:-255:339.52
50,0:-260:339.89
51,0:-265:340.39
52,0:-271:340.74
53,0:-276:341.13
54,0:-281:341.67
55,0:-286:342.25
56,0:-291:342.52
57,0:-296:342.90
58,0:-302:343.44
59,0:-307:343.79
60,0:-312:344.12
61,0:-317:344.54
62,0:-322:344.90
63,0:-328:345.27
64,0:-333:345.83
65,0:-338:346.07
66,0:-343:346.36
67,0:-348:346.78
68,0:-354:347.12
69,0:-359:347.37
70,0:-364:347.90
71,0:-369:348.13
72,0:-374:348.39
73,0:-380:348.79
74,0:-385:348.98
75,0:-390:349.12
76,0:-395:349.46
77,0:-400:349.81
78,0:-400:350.21
79,0:-400:350.52
80,0:-400:350.69
81,0:-400:351.07
82,0:-400:351.23
83,0:-400:351.42
84,0:-400:351.65
85,0:-400:351.79
86,0:-400:351.99
87,0:-400:352.18
88,0:-400:352.15
89,0:-400:352.31
90,0:-400:352.42
91,0:-400:352.36
92,0:-400:352.63
93,0:-400:352.69
94,0:-400:352.74
95,0:-400:352.83
96,0:-400:352.89
97,0:-400:353.03
98,0:-400:353.02
99,0:-400:353.05
