Index,Data
0,0:-1:380.00
1,0:-6:381.25
2,0:-11:381.42
3,0:-16:381.26
4,0:-21:381.26
5,0:-26:381.06
6,0:-32:381.03
7,0:-37:380.77
8,0:-42:380.76
9,0:-47:380.51
10,0:-52:380.36
11,0:-58:380.18
12,0:-63:379.89
13,0:-68:379.77
14,0:-73:379.61
15,0:-78:379.54
16,0:-84:379.31
17,0:-89:379.13
18,0:-94:378.99
19,0:-99:379.00
20,0:-104:378.62
21,0:-110:378.67
22,0:-115:378.37
23,0:-120:378.37
24,0:-125:378.04
25,0:-130:377.90
26,0:-136:377.86
27,0:-141:377.65
28,0:-146:377.47
29,0:-151:377.69
30,0:-156:377.47
31,0:-161:377.38
32,0:-167:377.23
33,0:-172:377.10
34,0:-177:377.11
35,0:-182:376.96
36,0:-187:376.99
37,0:-193:376.88
38,0:-198:376.95
39,0:-203:376.82
40,0:-208:376.81
41,0:-213:376.67
42,0:-219:376.75
43,0:-224:376.42
44,0:-229:376.61
45,0:-234:376.46
46,0:-239:376.36
47,0:-245:376.28
48,0:-250:376.44
49,0:-255:376.36
50,0:-260:376.10
51,0:-265:376.14
52,0:-271:376.09
53,0:-276:376.22
54,0:-281:376.08
55,0:-286:376.02
56,0:-291:376.04
57,0:-296:376.04
58,0:-302:376.00
59,0:-307:376.00
60,0:-312:376.06
61,0:-317:375.92
62,0:-322:375.87
63,0:-328:375.74
64,0:-333:375.72
65,0:-338:375.55
66,0:-343:375.66
67,0:-348:375.72
68,0:-354:375.68
69,0:-359:375.78
70,0:-364:375.65
71,0:-369:375.66
72,0:-374:375.60
73,0:-380:375.43
74,0:-385:375.59
75,0:-390:375.76
76,0:-395:375.53
77,0:-400:375.48
78,0:-400:375.59
79,0:-400:375.74
80,0:-400:375.83
81,0:-400:376.09
82,0:-400:376.30
83,0:-400:376.37
84,0:-400:376.33
85,0:-400:376.57
86,0:-400:376.60
87,0:-400:376.76
88,0:-400:376.80
89,0:-400:376.79
90,0:-400:376.99
91,0:-400:377.07
92,0:-400:377.12
93,0:-400:377.13
94,0:-400:377.26
95,0:-400:377.29
96,0:-400:377.53
97,0:-400:377.45
98,0:-400:377.50
99,0:-400:377.58
100,0:-400:377.51
101,0:-400:377.64
102,0:-400:377.75
103,0:-400:377.73
104,0:-400:377.80
105,0:-400:377.87
106,0:-400:378.00
107,0:-400:378.04
108,0:-400:378.04
109,0:-400:378.14
110,0:-400:378.08
111,0:-400:378.14
112,0:-400:378.22
113,0:-400:378.39
114,0:-400:378.33
115,0:-400:378.28
116,0:-396:378.29
117,0:-391:378.35
118,0:-385:378.80
119,0:-380:378.82
120,0:-375:378.83
121,0:-370:378.99
122,0:-365:379.13
123,0:-359:379.36
124,0:-354:379.47
125,0:-349:379.59
126,0:-344:379.96
127,0:-339:379.92
128,0:-333:380.09
129,0:-328:380.31
130,0:-323:380.29
131,0:-318:380.37
132,0:-313:380.54
133,0:-307:380.67
134,0:-302:380.75
135,0:-297:380.82
136,0:-292:380.86
137,0:-287:381.01
138,0:-281:381.08
139,0:-276:381.17
140,0:-271:381.07
141,0:-266:381.11
142,0:-261:381.04
143,0:-256:381.25
144,0:-250:381.06
145,0:-245:380.87
146,0:-240:380.85
147,0:-235:380.79
148,0:-230:380.61
149,0:-224:380.65
150,0:-219:380.47
151,0:-214:380.34
152,0:-209:380.12
153,0:-204:380.00
154,0:-198:379.76
155,0:-193:379.49
156,0:-188:379.20
157,0:-183:379.07
158,0:-178:378.57
159,0:-172:378.29
160,0:-167:378.03
161,0:-162:377.70
162,0:-157:377.27
163,0:-152:376.91
164,0:-146:376.65
165,0:-141:376.11
166,0:-136:375.64
167,0:-131:375.28
168,0:-126:374.78
169,0:-121:374.27
170,0:-115:373.71
171,0:-110:373.22
172,0:-105:372.69
173,0:-100:372.15
174,0:-95:371.52
175,0:-89:371.00
176,0:-84:370.36
177,0:-79:369.76
178,0:-74:368.99
179,0:-69:368.60
180,0:-63:367.71
181,0:-58:367.17
182,0:-53:366.65
183,0:-48:365.75
184,0:-43:365.09
185,0:-37:364.56
186,0:-32:363.63
187,0:-27:363.11
188,0:-22:362.51
189,0:-17:361.81
190,0:-11:361.18
191,0:-6:360.51
192,0:-1:359.63
193,0:0:359.06
194,0:0:359.05
195,0:0:359.25
196,0:0:359.28
197,0:0:359.49
198,0:0:359.66
199,0:0:359.66
200,0:0:359.78
201,0:0:359.89
202,0:0:359.96
203,0:0:359.97
204,0:0:360.18
205,0:0:360.34
