Index,Data
0,0:-1:477.00
1,0:-6:478.93
2,0:-11:479.28
3,0:-16:479.32
4,0:-21:479.35
5,0:-26:479.31
6,0:-32:479.27
7,0:-37:479.63
8,0:-42:479.58
9,0:-47:479.79
10,0:-52:479.73
11,0:-58:479.70
12,0:-63:479.70
13,0:-68:479.77
14,0:-73:479.92
15,0:-78:479.98
16,0:-84:480.05
17,0:-89:479.81
18,0:-94:480.01
19,0:-99:480.07
20,0:-104:480.26
21,0:-110:480.48
22,0:-115:480.41
23,0:-120:480.61
24,0:-125:480.93
25,0:-130:480.86
26,0:-136:481.09
27,0:-141:481.18
28,0:-146:481.37
29,0:-151:481.45
30,0:-156:481.76
31,0:-162:481.89
32,0:-167:481.97
33,0:-172:482.16
34,0:-177:482.62
35,0:-182:482.51
36,0:-187:482.90
37,0:-193:482.80
38,0:-198:483.19
39,0:-203:483.40
40,0:-208:483.27
41,0:-213:483.54
42,0:-219:483.90
43,0:-224:484.15
44,0:-229:484.42
45,0:-234:484.50
46,0:-239:484.66
47,0:-245:484.91
48,0:-250:484.86
49,0:-255:485.16
50,0:-260:485.28
51,0:-265:485.55
52,0:-271:485.55
53,0:-276:485.62
54,0:-281:485.96
55,0:-286:486.20
56,0:-291:486.33
57,0:-297:486.48
58,0:-302:486.54
59,0:-307:486.54
60,0:-312:486.70
61,0:-317:486.83
62,0:-323:486.77
63,0:-328:486.96
64,0:-333:487.15
65,0:-338:487.12
66,0:-343:487.37
67,0:-348:487.24
68,0:-354:487.31
69,0:-359:487.36
70,0:-364:487.39
71,0:-369:487.21
72,0:-374:487.33
73,0:-380:487.57
74,0:-385:487.51
75,0:-390:487.51
76,0:-395:487.35
77,0:-400:487.51
78,0:-400:487.67
79,0:-400:487.58
80,0:-400:487.81
81,0:-400:488.04
82,0:-400:488.15
83,0:-400:488.15
84,0:-400:488.65
85,0:-400:488.39
86,0:-400:488.28
87,0:-400:488.28
88,0:-400:488.80
89,0:-400:488.73
90,0:-400:488.68
91,0:-400:489.00
92,0:-400:488.73
93,0:-400:489.05
94,0:-400:488.99
95,0:-400:489.03
96,0:-400:489.23
97,0:-400:488.83
98,0:-400:489.24
99,0:-400:489.17
100,0:-400:489.28
101,0:-400:489.33
102,0:-400:489.18
103,0:-400:489.12
104,0:-400:489.42
105,0:-400:489.00
106,0:-400:489.33
107,0:-400:489.27
108,0:-400:489.40
109,0:-400:489.09
110,0:-400:489.50
111,0:-400:489.48
112,0:-400:489.67
113,0:-400:489.72
114,0:-400:489.73
115,0:-400:489.36
116,0:-396:489.60
117,0:-391:489.82
118,0:-385:489.58
119,0:-380:489.73
120,0:-375:489.93
121,0:-370:490.10
122,0:-365:490.40
123,0:-359:490.35
124,0:-354:490.62
125,0:-349:490.43
126,0:-344:490.81
127,0:-339:490.62
128,0:-333:490.81
129,0:-328:490.82
130,0:-323:490.99
131,0:-318:491.11
132,0:-313:491.21
133,0:-307:491.24
134,0:-302:491.23
135,0:-297:491.24
136,0:-292:491.23
137,0:-287:491.23
138,0:-281:491.24
139,0:-276:491.04
140,0:-271:491.04
141,0:-266:491.09
142,0:-261:490.75
143,0:-255:490.62
144,0:-250:490.59
145,0:-245:490.67
146,0:-240:490.41
147,0:-235:490.28
148,0:-230:489.97
149,0:-224:489.88
150,0:-219:489.67
151,0:-214:489.38
152,0:-209:489.21
153,0:-204:488.87
154,0:-198:488.96
155,0:-193:488.58
156,0:-188:488.10
157,0:-183:487.80
158,0:-178:487.27
159,0:-172:487.01
160,0:-167:486.72
161,0:-162:486.34
162,0:-157:486.02
163,0:-152:485.54
164,0:-146:485.06
165,0:-141:484.70
166,0:-136:484.15
167,0:-131:483.57
168,0:-130:483.33
169,0:-130:483.24
170,0:-130:483.53
171,0:-130:483.57
172,0:-130:483.68
173,0:-130:483.61
174,0:-130:483.72
175,0:-130:483.61
176,0:-130:483.77
177,0:-130:483.83
178,0:-130:483.82
179,0:-130:483.71
180,0:-130:483.72
181,0:-130:483.94
182,0:-130:484.10
183,0:-130:483.85
184,0:-130:484.10
185,0:-130:484.25
186,0:-130:484.22
187,0:-130:484.12
188,0:-130:484.27
189,0:-130:484.40
190,0:-130:484.42
191,0:-130:484.52
192,0:-130:484.57
193,0:-130:484.55
194,0:-130:484.42
195,0:-130:484.52
196,0:-130:484.80
197,0:-130:484.66
198,0:-130:484.72
199,0:-130:484.92
200,0:-130:484.93
201,0:-130:484.54
202,0:-130:484.63
203,0:-130:484.86
204,0:-130:484.70
205,0:-130:485.12
206,0:-130:485.05
207,0:-130:485.09
208,0:-130:485.12
209,0:-130:485.13
210,0:-130:484.92
211,0:-130:485.22
212,0:-130:485.21
213,0:-130:485.22
214,0:-130:485.26
215,0:-130:485.11
216,0:-130:485.35
217,0:-130:485.26
218,0:-130:485.09
219,0:-130:485.09
220,0:-130:485.33
221,0:-130:485.18
222,0:-130:485.27
223,0:-130:485.20
224,0:-130:485.23
225,0:-130:485.38
226,0:-130:485.17
227,0:-130:485.47
228,0:-130:485.70
229,0:-130:485.22
230,0:-130:485.36
231,0:-130:485.42
232,0:-130:485.44
233,0:-130:485.52
234,0:-130:485.53
235,0:-130:485.43
236,0:-130:485.67
237,0:-130:485.69
238,0:-130:485.66
239,0:-130:485.58
240,0:-130:485.64
241,0:-130:485.61
242,0:-130:485.83
243,0:-130:485.71
244,0:-130:485.75
245,0:-130:485.76
246,0:-130:486.01
247,0:-130:485.76
248,0:-130:485.82
249,0:-130:485.93
250,0:-130:485.87
251,0:-130:485.81
252,0:-130:486.04
253,0:-130:485.86
254,0:-130:485.85
255,0:-130:485.85
256,0:-130:485.97
257,0:-130:485.82
258,0:-130:485.93
259,0:-130:486.04
260,0:-130:486.15
261,0:-130:486.06
262,0:-130:486.01
263,0:-130:485.81
264,0:-130:485.90
265,0:-130:485.92
266,0:-130:486.07
267,0:-130:485.90
268,0:-130:486.05
269,0:-130:485.85
270,0:-130:486.03
271,0:-130:485.84
272,0:-130:485.89
273,0:-130:486.16
274,0:-130:486.17
275,0:-130:486.00
276,0:-130:486.09
277,0:-130:485.99
278,0:-130:486.27
279,0:-130:486.17
280,0:-130:486.20
281,0:-130:486.27
282,0:-130:486.20
283,0:-130:486.12
284,0:-130:486.18
285,0:-130:486.30
286,0:-130:486.43
287,0:-130:486.42
288,0:-130:486.27
289,0:-130:486.25
290,0:-130:486.28
291,0:-130:486.31
292,0:-130:486.52
