Index,Data
0,
1,0:-1:477.00
2,0:-6:479.20
3,0:-11:479.36
4,0:-16:479.19
5,0:-21:479.43
6,0:-26:479.45
7,0:-32:479.72
8,0:-37:479.79
9,0:-42:479.99
10,0:-47:480.13
11,0:-52:480.43
12,0:-58:480.59
13,0:-63:480.58
14,0:-68:480.77
15,0:-73:480.93
16,0:-78:481.37
17,0:-84:481.39
18,0:-89:481.63
19,0:-94:481.62
20,0:-99:482.22
21,0:-104:482.36
22,0:-110:482.49
23,0:-115:482.84
24,0:-120:483.39
25,0:-125:483.37
26,0:-130:483.48
27,0:-136:483.91
28,0:-141:484.07
29,0:-146:484.48
30,0:-151:484.55
31,0:-156:485.14
32,0:-161:485.27
33,0:-167:485.63
34,0:-172:485.39
35,0:-177:486.10
36,0:-182:486.11
37,0:-187:486.57
38,0:-193:486.71
39,0:-198:486.74
40,0:-203:487.26
41,0:-208:487.42
42,0:-213:487.75
43,0:-219:487.47
44,0:-224:487.81
45,0:-229:488.24
46,0:-234:488.27
47,0:-239:488.57
48,0:-245:488.72
49,0:-250:488.69
50,0:-255:488.83
51,0:-260:489.24
52,0:-265:489.14
53,0:-271:489.29
54,0:-276:489.26
55,0:-281:489.60
56,0:-286:489.50
57,0:-291:489.80
58,0:-296:489.92
59,0:-302:489.89
60,0:-307:489.80
61,0:-312:489.65
62,0:-317:489.96
63,0:-322:489.88
64,0:-328:490.08
65,0:-333:489.72
66,0:-338:490.15
67,0:-343:490.26
68,0:-348:489.97
69,0:-354:489.71
70,0:-359:489.67
71,0:-364:489.89
72,0:-369:490.07
73,0:-374:489.87
74,0:-380:489.74
75,0:-385:489.75
76,0:-390:489.44
77,0:-395:489.82
78,0:-400:489.55
79,0:-400:489.66
80,0:-400:489.78
81,0:-400:489.79
82,0:-400:489.81
83,0:-400:489.98
84,0:-400:489.80
85,0:-400:490.23
86,0:-400:490.33
87,0:-400:490.22
88,0:-400:490.32
89,0:-400:490.47
90,0:-400:490.27
91,0:-400:490.45
92,0:-400:490.75
93,0:-400:490.71
94,0:-400:490.73
95,0:-400:490.61
96,0:-400:490.70
97,0:-400:490.61
98,0:-400:490.76
99,0:-400:490.52
100,0:-400:490.95
101,0:-400:490.75
102,0:-400:490.60
103,0:-400:490.80
104,0:-400:490.85
105,0:-400:490.89
106,0:-400:491.02
107,0:-400:491.01
108,0:-400:491.16
109,0:-400:491.15
110,0:-400:490.91
111,0:-400:491.11
112,0:-400:490.95
113,0:-400:490.88
114,0:-400:490.99
115,0:-400:491.11
116,0:-400:491.05
117,0:-396:491.50
118,0:-391:491.19
119,0:-385:491.33
120,0:-380:491.62
121,0:-375:491.68
122,0:-370:491.73
123,0:-365:491.81
124,0:-359:492.03
125,0:-354:491.99
126,0:-349:492.07
127,0:-344:492.21
128,0:-339:492.33
129,0:-333:492.44
130,0:-328:492.45
131,0:-323:492.56
132,0:-318:492.54
133,0:-313:492.79
134,0:-307:492.85
135,0:-302:492.93
136,0:-297:492.83
137,0:-292:492.66
138,0:-287:492.60
139,0:-281:492.90
140,0:-276:492.95
141,0:-271:492.65
142,0:-266:492.37
143,0:-261:492.55
144,0:-256:492.41
145,0:-250:492.51
146,0:-245:492.30
147,0:-240:492.24
148,0:-235:492.24
149,0:-230:491.83
150,0:-224:491.56
151,0:-219:491.49
152,0:-214:491.37
153,0:-209:490.82
154,0:-204:490.96
155,0:-198:490.43
156,0:-193:490.36
157,0:-188:489.87
158,0:-183:489.73
159,0:-178:489.25
160,0:-172:488.97
161,0:-167:488.43
162,0:-162:488.12
163,0:-157:487.83
164,0:-152:487.31
165,0:-146:487.08
166,0:-141:486.47
167,0:-136:486.15
168,0:-131:485.52
169,0:-130:485.11
170,0:-130:485.10
171,0:-130:485.05
172,0:-130:485.17
173,0:-130:485.15
174,0:-130:485.27
175,0:-130:485.35
176,0:-130:485.53
177,0:-130:485.38
178,0:-130:485.56
179,0:-130:485.69
180,0:-130:485.62
181,0:-130:485.64
182,0:-130:485.69
183,0:-130:485.64
184,0:-130:485.87
185,0:-130:485.89
186,0:-130:485.84
187,0:-130:485.93
188,0:-130:485.96
189,0:-130:485.98
190,0:-130:486.07
191,0:-130:486.02
192,0:-130:486.11
193,0:-130:486.23
194,0:-130:486.19
195,0:-130:486.30
196,0:-130:486.36
197,0:-130:486.37
198,0:-130:486.42
199,0:-130:486.43
200,0:-130:486.44
201,0:-130:486.40
202,0:-130:486.64
203,0:-130:486.58
204,0:-130:486.63
205,0:-130:486.63
206,0:-130:486.66
207,1:-133:486.77
208,1:-138:486.95
209,1:-143:487.24
210,1:-149:487.51
211,1:-154:487.74
212,1:-159:488.02
213,1:-164:488.40
214,1:-169:488.67
215,1:-175:488.90
216,1:-180:489.49
217,1:-185:489.50
218,1:-190:489.88
219,1:-195:490.04
220,1:-201:490.38
221,1:-206:490.97
222,1:-211:490.81
223,1:-216:491.30
224,1:-221:491.63
225,1:-227:491.68
226,1:-232:491.68
227,1:-237:492.01
228,1:-242:492.14
229,1:-247:492.48
230,1:-253:492.84
231,1:-258:493.20
232,1:-263:492.97
233,1:-268:492.95
234,1:-273:493.31
235,1:-278:493.23
236,1:-284:493.40
237,1:-289:493.67
238,1:-294:493.76
239,1:-299:493.71
240,1:-304:493.58
241,1:-309:493.76
242,1:-309:493.96
243,1:-309:494.04
244,1:-309:494.06
245,1:-309:494.33
246,1:-309:494.21
247,1:-309:494.35
248,1:-309:494.23
249,1:-309:494.43
250,1:-309:494.61
251,1:-309:494.47
252,1:-309:494.64
253,1:-309:494.66
254,1:-309:494.64
255,1:-309:494.76
256,1:-309:495.00
257,1:-309:495.08
258,1:-309:495.03
259,1:-309:494.81
260,1:-309:494.76
261,1:-309:494.83
262,1:-309:494.99
263,1:-309:494.97
264,1:-309:495.01
265,1:-309:495.15
266,1:-309:494.94
267,1:-309:495.01
268,1:-309:495.14
269,1:-309:495.18
270,1:-309:495.07
271,1:-309:495.35
272,1:-309:494.98
273,1:-309:495.04
274,1:-309:495.16
275,1:-309:495.23
276,1:-309:495.30
277,1:-309:495.34
278,1:-309:495.26
279,1:-309:495.27
280,1:-305:495.29
281,1:-299:495.59
282,1:-294:495.21
283,1:-289:495.55
284,1:-284:495.45
285,1:-279:495.50
286,1:-273:495.26
287,1:-268:495.42
288,1:-263:495.33
289,1:-258:495.18
290,1:-253:495.57
291,1:-247:495.19
292,1:-242:495.07
293,1:-237:495.02
294,1:-232:495.00
295,1:-227:494.32
296,1:-221:494.57
297,1:-216:494.31
298,1:-211:494.09
299,1:-206:494.04
300,1:-201:493.50
301,1:-195:493.48
302,1:-190:493.00
303,1:-185:492.93
304,1:-180:492.34
305,1:-175:492.21
306,1:-170:491.84
307,1:-164:491.14
308,1:-159:490.86
309,1:-154:490.39
310,1:-149:490.45
311,1:-144:489.71
312,1:-138:489.11
313,1:-133:488.72
314,1:-128:488.23
315,1:-123:487.24
316,1:-118:486.78
317,1:-112:486.43
318,1:-107:485.95
319,1:-102:485.00
320,1:-97:484.59
321,1:-92:483.96
322,1:-86:483.24
323,1:-81:482.50
324,1:-76:481.77
325,1:-71:481.27
326,1:-66:480.35
327,1:-60:479.48
328,1:-55:479.07
329,1:-50:478.15
330,1:-45:477.17
331,1:-40:476.35
332,1:-34:475.56
333,1:-29:474.44
334,1:-24:473.92
335,1:-19:473.24
336,1:-15:472.52
337,1:-15:471.87
338,1:-15:471.87
339,1:-15:471.56
340,1:-15:471.67
341,1:-15:471.61
342,1:-15:471.76
343,1:-15:471.84
344,1:-15:471.64
345,1:-15:471.74
346,1:-15:471.76
347,1:-15:471.85
348,1:-15:471.86
349,1:-15:471.83
350,1:-15:472.04
351,1:-15:471.95
352,1:-15:472.07
353,1:-15:472.04
354,1:-15:472.24
355,1:-15:472.00
356,1:-15:471.97
357,1:-15:472.17
358,1:-15:472.24
359,1:-15:472.19
360,1:-15:472.46
361,1:-15:472.49
362,1:-15:472.44
363,1:-15:472.30
364,1:-15:472.38
365,1:-15:472.49
366,1:-15:472.54
367,1:-15:472.36
368,1:-15:472.54
369,1:-15:472.58
370,1:-15:472.62
371,1:-15:472.51
372,1:-15:472.63
373,1:-15:472.67
374,1:-15:472.66
375,2:-20:472.78
376,2:-25:472.97
377,2:-30:473.39
378,2:-36:473.74
379,2:-41:474.41
380,2:-46:474.50
381,2:-51:475.16
382,2:-56:475.40
383,2:-62:475.88
384,2:-67:476.35
385,2:-72:476.81
386,2:-77:477.13
387,2:-82:477.88
388,2:-88:477.99
389,2:-93:478.50
390,2:-98:478.85
391,2:-103:479.25
392,2:-108:479.95
393,2:-114:480.27
394,2:-119:480.85
395,2:-124:481.06
396,2:-129:481.82
397,2:-134:482.18
398,2:-140:482.89
399,2:-145:483.05
400,2:-150:483.80
401,2:-155:483.88
402,2:-160:484.27
403,2:-165:484.68
404,2:-171:485.12
405,2:-176:485.53
406,2:-181:485.83
407,2:-186:486.29
408,2:-191:486.65
409,2:-197:486.90
410,2:-202:487.16
411,2:-207:487.46
412,2:-212:487.84
413,2:-217:487.97
414,2:-223:488.48
415,2:-228:488.57
416,2:-233:488.64
417,2:-238:489.25
418,2:-243:489.39
419,2:-249:489.55
420,2:-254:489.85
421,2:-259:489.94
422,2:-264:490.41
423,2:-269:490.41
424,2:-275:490.46
425,2:-280:490.66
426,2:-285:491.01
427,2:-290:490.65
428,2:-295:491.26
429,2:-300:491.04
430,2:-306:491.10
431,2:-311:491.50
432,2:-316:491.21
433,2:-321:491.74
434,2:-326:491.38
435,2:-328:491.68
436,2:-328:491.68
437,2:-328:492.01
438,2:-328:492.04
439,2:-328:492.36
440,2:-328:492.31
441,2:-328:492.47
442,2:-328:492.41
443,2:-328:492.64
444,2:-328:492.59
445,2:-328:492.75
446,2:-328:492.60
447,2:-328:492.69
448,2:-328:492.97
449,2:-328:492.67
450,2:-328:493.04
451,2:-328:493.22
452,2:-328:492.99
453,2:-328:493.14
454,2:-328:492.94
455,2:-328:493.03
456,2:-328:493.32
457,2:-328:493.18
458,2:-328:493.10
459,2:-328:493.34
460,2:-328:493.27
461,2:-328:493.24
462,2:-328:493.12
463,2:-328:493.37
464,2:-328:493.18
465,2:-328:493.30
466,2:-328:493.45
467,2:-328:493.39
468,2:-328:493.42
469,2:-328:493.55
470,2:-328:493.64
471,2:-328:493.39
472,2:-328:493.58
473,2:-326:493.35
474,2:-321:493.49
475,2:-315:493.57
476,2:-310:493.72
477,2:-305:493.73
478,2:-300:493.84
479,2:-295:494.00
480,2:-289:494.06
481,2:-284:493.92
482,2:-279:493.95
483,2:-274:494.07
484,2:-269:494.00
485,2:-263:493.87
486,2:-258:493.96
487,2:-253:493.83
488,2:-248:493.89
489,2:-243:493.82
490,2:-237:493.68
491,2:-232:493.81
492,2:-227:493.33
493,2:-222:493.03
494,2:-217:493.17
495,2:-211:492.79
496,2:-206:492.79
497,2:-201:492.43
498,2:-196:492.39
499,2:-191:491.98
500,2:-186:491.76
501,2:-180:491.45
502,2:-175:491.18
503,2:-170:490.95
504,2:-165:490.23
505,2:-161:490.02
506,2:-161:489.93
507,2:-161:489.94
508,2:-161:489.85
509,2:-161:490.02
510,2:-161:490.09
511,2:-161:490.31
512,2:-161:490.29
513,2:-161:490.36
514,2:-161:490.41
515,2:-161:490.25
516,2:-161:490.46
517,2:-161:490.54
518,2:-161:490.51
519,2:-161:490.48
520,2:-161:490.46
521,2:-161:490.47
522,2:-161:490.46
523,2:-161:490.52
524,2:-161:490.68
525,2:-161:490.52
526,2:-161:490.72
527,2:-161:490.67
528,2:-161:490.87
529,2:-161:490.81
530,2:-161:490.88
531,2:-161:490.79
532,2:-161:490.97
533,2:-161:490.78
534,2:-161:491.01
535,2:-161:490.88
536,2:-161:491.02
537,2:-161:491.08
538,2:-161:491.04
539,2:-161:491.06
540,2:-161:491.09
541,2:-161:490.99
542,2:-161:491.21
543,2:-161:491.26
544,3:-166:491.17
545,3:-171:491.61
546,3:-177:491.72
547,3:-182:491.74
548,3:-187:492.07
549,3:-192:492.31
550,3:-197:492.60
551,3:-203:492.70
552,3:-208:492.74
553,3:-213:493.08
554,3:-218:493.26
555,3:-223:493.56
556,3:-229:493.68
557,3:-234:493.86
558,3:-239:494.03
559,3:-244:494.35
560,3:-249:494.31
561,3:-255:494.27
562,3:-260:494.35
563,3:-265:494.62
564,3:-270:494.68
565,3:-275:494.91
566,3:-281:494.94
567,3:-286:494.96
568,3:-291:494.99
569,3:-296:495.03
570,3:-301:495.12
571,3:-306:494.86
572,3:-312:494.97
573,3:-317:495.06
574,3:-322:494.85
575,3:-327:494.70
576,3:-332:494.62
577,3:-338:494.59
578,3:-343:494.41
579,3:-348:494.39
580,3:-353:494.39
581,3:-358:494.09
582,3:-359:494.29
583,3:-359:494.13
584,3:-359:494.15
585,3:-359:494.32
586,3:-359:494.36
587,3:-359:494.44
588,3:-359:494.51
589,3:-359:494.46
590,3:-359:494.48
591,3:-359:494.51
592,3:-359:494.39
593,3:-359:494.41
594,3:-359:494.56
595,3:-359:494.62
596,3:-359:494.73
597,3:-359:494.86
598,3:-359:494.79
599,3:-359:494.78
600,3:-359:494.84
601,3:-359:494.82
602,3:-359:494.85
603,3:-359:494.79
604,3:-359:494.88
605,3:-359:494.76
606,3:-359:494.83
607,3:-359:494.85
608,3:-359:494.99
609,3:-359:494.98
610,3:-359:495.16
611,3:-359:495.03
612,3:-359:494.99
613,3:-359:495.06
614,3:-359:495.08
615,3:-359:494.96
616,3:-359:495.13
617,3:-359:495.07
618,3:-359:494.84
619,3:-359:495.19
620,3:-356:494.89
621,3:-351:494.95
622,3:-345:495.33
623,3:-340:495.16
624,3:-335:495.54
625,3:-330:495.51
626,3:-325:495.54
627,3:-319:495.69
628,3:-314:495.41
629,3:-309:495.58
630,3:-304:495.66
631,3:-299:495.88
632,3:-293:495.68
633,3:-288:495.92
634,3:-283:495.82
635,3:-278:495.78
636,3:-273:495.60
637,3:-267:495.61
638,3:-262:495.68
639,3:-257:495.32
640,3:-252:495.24
641,3:-247:495.34
642,3:-241:495.07
643,3:-236:495.14
644,3:-231:494.81
645,3:-226:494.54
646,3:-221:494.30
647,3:-216:494.19
648,3:-210:493.92
649,3:-205:493.50
650,3:-200:493.50
651,3:-195:493.16
652,3:-190:492.92
653,3:-184:492.35
654,3:-179:492.18
655,3:-174:491.65
656,3:-169:491.40
657,3:-164:491.04
658,3:-158:490.34
659,3:-153:489.89
660,3:-148:489.73
661,3:-143:489.12
662,3:-138:488.76
663,3:-132:488.13
664,3:-127:487.41
665,3:-122:486.90
666,3:-117:486.35
667,3:-112:485.62
668,3:-106:485.10
669,3:-101:484.53
670,3:-96:483.75
671,3:-91:483.08
672,3:-86:482.44
