Index,Data
0,0:-1:461.00:200
1,0:-6:469.68:200
2,0:-11:469.26:200
3,0:-16:469.31:200
4,0:-21:469.56:200
5,0:-26:469.33:200
6,0:-32:469.16:200
7,0:-37:469.15:200
8,0:-42:469.03:200
9,0:-47:468.74:200
10,0:-52:468.62:200
11,0:-58:468.67:200
12,0:-63:468.27:200
13,0:-68:468.20:200
14,0:-73:468.05:200
15,0:-78:467.85:200
16,0:-84:467.68:200
17,0:-89:467.41:200
18,0:-94:467.35:200
19,0:-99:467.21:200
20,0:-104:467.15:200
21,0:-110:466.78:200
22,0:-115:466.90:200
23,0:-120:466.98:200
24,0:-125:466.42:200
25,0:-130:466.63:200
26,0:-136:466.12:200
27,0:-141:466.04:200
28,0:-146:466.15:200
29,0:-151:465.90:200
30,0:-156:465.62:200
31,0:-161:465.58:200
32,0:-167:465.76:200
33,0:-172:465.46:200
34,0:-177:465.25:200
35,0:-182:465.59:200
36,0:-187:465.14:200
37,0:-193:465.11:200
38,0:-198:465.25:200
39,0:-203:465.08:200
40,0:-208:465.31:200
41,0:-213:465.28:200
42,0:-219:465.22:200
43,0:-224:465.21:200
44,0:-229:465.22:200
45,0:-234:465.06:200
46,0:-239:465.21:200
47,0:-245:465.36:200
48,0:-250:465.32:200
49,0:-255:465.45:200
50,0:-260:465.29:200
51,0:-265:465.62:200
52,0:-271:465.53:200
53,0:-276:465.59:200
54,0:-281:465.65:200
55,0:-286:465.74:200
56,0:-291:465.77:200
57,0:-297:465.71:200
58,0:-302:465.97:200
59,0:-307:466.20:200
60,0:-312:465.94:200
61,0:-317:466.22:200
62,0:-322:466.27:200
63,0:-328:466.40:200
64,0:-333:466.34:200
65,0:-338:466.26:200
66,0:-343:466.64:200
67,0:-348:466.57:200
68,0:-354:466.72:200
69,0:-359:466.68:200
70,0:-364:466.76:200
71,0:-369:466.89:200
72,0:-374:466.81:200
73,0:-380:466.86:200
74,0:-385:466.71:200
75,0:-390:466.85:200
76,0:-395:466.96:200
77,0:-400:466.93:124
78,0:-400:467.12:124
79,0:-400:467.34:124
80,0:-400:467.34:124
81,0:-400:467.44:124
82,0:-400:467.81:124
83,0:-400:467.84:124
84,0:-400:468.07:124
