Index,Data
0,0:-1:488.00:200
1,0:-6:487.53:200
2,0:-11:487.54:200
3,0:-16:487.86:200
4,0:-21:487.84:200
5,0:-26:488.26:200
6,0:-32:488.14:200
7,0:-37:488.22:200
8,0:-42:488.40:200
9,0:-47:488.69:200
10,0:-52:488.45:200
11,0:-58:488.71:200
12,0:-63:489.00:200
13,0:-68:489.07:200
14,0:-73:489.31:200
15,0:-78:489.58:200
16,0:-84:489.45:200
17,0:-89:489.95:200
18,0:-94:490.21:200
19,0:-99:490.32:200
20,0:-104:490.43:200
21,0:-110:490.50:200
22,0:-115:490.90:200
23,0:-120:490.98:200
24,0:-125:491.29:200
25,0:-130:491.80:200
26,0:-136:491.80:200
27,0:-141:491.94:200
28,0:-146:492.38:200
29,0:-151:492.72:200
30,0:-156:492.64:200
31,0:-161:492.81:200
32,0:-167:493.16:200
33,0:-172:493.39:200
34,0:-177:493.75:200
35,0:-182:493.84:200
36,0:-187:494.26:200
37,0:-193:494.41:200
38,0:-198:494.59:200
39,0:-203:494.88:200
40,0:-208:495.14:200
41,0:-213:495.34:200
42,0:-219:495.41:200
43,0:-224:495.55:200
44,0:-229:495.60:200
45,0:-234:496.08:200
46,0:-239:496.25:200
47,0:-245:496.22:200
48,0:-250:496.16:200
49,0:-255:496.57:200
50,0:-260:496.75:200
51,0:-265:496.82:200
52,0:-270:496.94:200
53,0:-276:497.04:200
54,0:-281:497.33:200
55,0:-286:497.04:200
56,0:-291:497.24:200
57,0:-296:497.42:200
58,0:-302:497.33:200
59,0:-307:497.39:200
60,0:-312:497.32:200
61,0:-317:497.70:200
62,0:-322:497.78:200
63,0:-328:497.63:200
64,0:-333:497.79:200
65,0:-338:497.76:200
66,0:-343:497.68:200
67,0:-348:497.66:200
68,0:-354:497.84:200
69,0:-359:497.60:200
70,0:-364:497.65:200
71,0:-369:497.28:200
72,0:-374:497.53:200
73,0:-380:497.41:200
74,0:-385:497.43:200
75,0:-390:497.31:200
76,0:-395:497.25:200
77,0:-400:497.18:283
78,0:-400:497.21:283
79,0:-400:497.36:283
80,0:-400:497.47:283
81,0:-400:497.46:283
82,0:-400:497.40:283
83,0:-400:497.43:283
84,0:-400:497.66:283
85,0:-400:497.55:283
86,0:-400:497.81:283
87,0:-400:497.79:283
88,0:-400:497.88:283
89,0:-400:498.07:283
90,0:-400:497.82:283
91,0:-400:498.04:283
92,0:-400:497.97:283
93,0:-400:497.97:283
94,0:-400:497.93:283
95,0:-400:497.90:283
96,0:-400:497.90:283
97,0:-400:498.12:283
98,0:-400:498.14:283
99,0:-400:498.14:283
100,0:-400:498.05:283
101,0:-400:498.23:283
102,0:-400:498.44:283
103,0:-400:498.19:283
104,0:-400:498.33:283
105,0:-400:498.22:283
106,0:-400:498.40:283
107,0:-400:498.32:283
108,0:-400:498.24:283
109,0:-400:498.55:283
110,0:-400:498.39:283
111,0:-400:498.37:283
112,0:-400:498.53:283
113,0:-400:498.60:283
114,0:-400:498.55:283
115,0:-400:498.46:283
116,0:-396:498.61:283
117,0:-391:498.96:283
118,0:-386:498.75:283
119,0:-380:499.09:283
120,0:-375:498.86:283
121,0:-370:498.92:283
122,0:-365:499.31:283
