Index,Data
0,0:-1:486.00:200
1,0:-6:488.49:200
2,0:-11:488.84:200
3,0:-16:488.94:200
4,0:-21:488.96:200
5,0:-26:489.17:200
6,0:-32:489.15:200
7,0:-37:489.20:200
8,0:-42:489.35:200
9,0:-47:489.39:200
10,0:-52:489.66:200
11,0:-57:489.54:200
12,0:-63:489.89:200
13,0:-68:490.17:200
14,0:-73:490.28:200
15,0:-78:490.54:200
16,0:-83:490.58:200
17,0:-89:490.87:200
18,0:-94:491.19:200
19,0:-99:491.16:200
20,0:-104:491.30:200
21,0:-109:491.73:200
22,0:-115:491.81:200
23,0:-120:491.80:200
24,0:-125:492.29:200
25,0:-130:492.30:200
26,0:-135:492.71:200
27,0:-141:492.86:200
28,0:-146:493.29:200
29,0:-151:493.41:200
30,0:-156:493.46:200
31,0:-161:493.72:200
32,0:-166:494.02:200
33,0:-172:494.44:200
34,0:-177:494.53:200
35,0:-182:494.71:200
36,0:-187:495.03:200
37,0:-192:495.00:200
38,0:-198:495.43:200
39,0:-203:495.69:200
40,0:-208:495.71:200
41,0:-213:496.06:200
42,0:-218:496.18:200
43,0:-224:496.59:200
44,0:-229:496.69:200
45,0:-234:496.78:200
46,0:-239:497.17:200
47,0:-244:497.10:200
48,0:-250:497.24:200
49,0:-255:497.54:200
50,0:-260:497.38:200
51,0:-265:497.73:200
52,0:-270:497.80:200
53,0:-276:497.74:200
54,0:-281:497.87:200
55,0:-286:498.06:200
56,0:-291:497.92:200
57,0:-296:498.27:200
58,0:-302:498.37:200
59,0:-307:498.48:200
60,0:-312:498.51:200
61,0:-317:498.53:200
62,0:-322:498.82:200
63,0:-327:498.76:200
64,0:-333:498.89:200
65,0:-338:498.65:200
66,0:-343:498.99:200
67,0:-348:498.61:200
68,0:-353:498.83:200
69,0:-359:498.78:200
70,0:-364:498.58:200
71,0:-369:498.61:200
72,0:-374:498.75:200
73,0:-379:498.56:200
74,0:-385:498.63:200
75,0:-390:498.47:200
76,0:-395:498.31:200
77,0:-400:498.18:283
78,0:-400:498.35:283
79,0:-400:498.38:283
80,0:-400:498.41:283
81,0:-400:498.64:283
82,0:-400:498.85:283
83,0:-400:498.49:283
84,0:-400:498.69:283
85,0:-400:498.69:283
86,0:-400:498.67:283
87,0:-400:499.11:283
88,0:-400:498.87:283
89,0:-400:499.03:283
90,0:-400:498.95:283
91,0:-400:499.22:283
92,0:-400:499.21:283
93,0:-400:499.20:283
94,0:-400:499.08:283
95,0:-400:499.17:283
96,0:-400:499.45:283
97,0:-400:499.15:283
98,0:-400:499.47:283
99,0:-400:499.32:283
100,0:-400:499.45:283
101,0:-400:499.43:283
102,0:-400:499.26:283
103,0:-400:499.40:283
104,0:-400:499.54:283
105,0:-400:499.58:283
106,0:-400:499.76:283
107,0:-400:499.57:283
108,0:-400:499.38:283
109,0:-400:499.42:283
110,0:-400:499.61:283
111,0:-400:499.24:283
112,0:-400:499.47:283
113,0:-400:499.63:283
114,0:-400:499.56:283
115,0:-400:499.61:283
116,0:-396:499.57:283
117,0:-391:499.70:283
118,0:-386:499.96:283
119,0:-380:499.95:283
120,0:-375:500.25:283
121,0:-370:500.05:283
122,0:-365:500.41:283
123,0:-360:500.55:283
124,0:-354:500.66:283
125,0:-349:500.55:283
126,0:-344:500.70:283
127,0:-339:500.80:283
128,0:-334:500.61:283
129,0:-328:501.09:283
130,0:-323:501.04:283
131,0:-318:501.20:283
