Index,Data
0,
1,0:-1:491.00:200
2,0:-6:486.65:200
3,0:-11:486.73:200
4,0:-16:486.92:200
5,0:-21:487.09:200
6,0:-26:487.33:200
7,0:-32:487.46:200
8,0:-37:487.70:200
9,0:-42:487.84:200
10,0:-47:487.98:200
11,0:-52:488.11:200
12,0:-58:488.27:200
13,0:-63:488.57:200
14,0:-68:488.53:200
15,0:-73:488.73:200
16,0:-78:489.07:200
17,0:-84:489.29:200
18,0:-89:489.64:200
19,0:-94:489.83:200
20,0:-99:490.16:200
21,0:-104:490.15:200
22,0:-109:490.73:200
23,0:-115:490.72:200
24,0:-120:491.29:200
25,0:-125:491.37:200
26,0:-130:491.71:200
27,0:-135:492.22:200
28,0:-141:492.39:200
29,0:-146:492.79:200
30,0:-151:493.09:200
31,0:-156:493.03:200
32,0:-161:493.39:200
33,0:-167:493.75:200
34,0:-172:494.12:200
35,0:-177:494.45:200
36,0:-182:494.53:200
37,0:-187:495.14:200
38,0:-193:494.94:200
39,0:-198:495.53:200
40,0:-203:495.70:200
41,0:-208:495.90:200
42,0:-213:496.07:200
43,0:-219:496.33:200
44,0:-224:496.68:200
45,0:-229:496.81:200
46,0:-234:496.88:200
47,0:-239:497.37:200
48,0:-245:497.19:200
49,0:-250:497.73:200
50,0:-255:497.54:200
51,0:-260:498.02:200
52,0:-265:498.19:200
53,0:-270:498.24:200
54,0:-276:498.35:200
55,0:-281:498.56:200
56,0:-286:498.54:200
57,0:-291:498.72:200
58,0:-296:498.77:200
59,0:-302:498.81:200
60,0:-307:498.95:200
61,0:-312:499.04:200
62,0:-317:498.83:200
63,0:-322:499.07:200
64,0:-328:499.12:200
65,0:-333:499.24:200
66,0:-338:499.01:200
67,0:-343:499.26:200
68,0:-348:499.35:200
69,0:-354:499.38:200
70,0:-359:499.18:200
71,0:-364:499.33:200
72,0:-369:499.32:200
73,0:-374:499.23:200
74,0:-380:499.01:200
75,0:-385:499.15:200
76,0:-390:499.33:200
77,0:-395:499.18:200
78,0:-400:498.99:283
79,0:-400:498.99:283
80,0:-400:499.11:283
81,0:-400:499.31:283
82,0:-400:499.11:283
83,0:-400:499.20:283
84,0:-400:499.35:283
85,0:-400:499.38:283
86,0:-400:499.23:283
87,0:-400:499.63:283
88,0:-400:499.48:283
89,0:-400:499.51:283
90,0:-400:499.74:283
91,0:-400:499.76:283
92,0:-400:499.69:283
93,0:-400:499.64:283
94,0:-400:499.69:283
95,0:-400:499.47:283
96,0:-400:500.06:283
97,0:-400:499.99:283
98,0:-400:499.92:283
99,0:-400:499.90:283
100,0:-400:500.09:283
101,0:-400:500.03:283
102,0:-400:500.08:283
103,0:-400:500.13:283
104,0:-400:500.15:283
105,0:-400:500.24:283
106,0:-400:500.02:283
107,0:-400:500.04:283
108,0:-400:500.22:283
109,0:-400:500.11:283
110,0:-400:500.31:283
111,0:-400:500.09:283
112,0:-400:500.31:283
113,0:-400:500.51:283
114,0:-400:500.36:283
115,0:-400:500.34:283
116,0:-400:500.37:283
117,0:-396:500.32:283
118,0:-391:500.50:283
119,0:-385:500.46:283
120,0:-380:500.76:283
121,0:-375:500.86:283
122,0:-370:500.78:283
123,0:-365:500.89:283
124,0:-359:501.01:283
125,0:-354:501.04:283
126,0:-349:501.44:283
127,0:-344:501.42:283
128,0:-339:501.33:283
129,0:-333:501.51:283
130,0:-328:501.61:283
131,0:-323:501.98:283
132,0:-318:501.77:283
133,0:-313:501.92:283
134,0:-307:501.92:283
135,0:-302:501.98:283
136,0:-297:502.09:283
137,0:-292:502.06:283
138,0:-287:502.13:283
139,0:-281:502.00:283
140,0:-276:502.12:283
141,0:-271:501.89:283
142,0:-266:502.03:283
143,0:-261:502.02:283
144,0:-256:501.94:283
145,0:-250:501.92:283
146,0:-245:501.63:283
147,0:-240:501.63:283
148,0:-235:501.66:283
149,0:-230:501.32:283
150,0:-224:501.13:283
151,0:-219:500.98:283
152,0:-214:501.09:283
153,0:-209:500.66:283
154,0:-204:500.31:283
155,0:-198:500.45:283
156,0:-193:500.01:283
157,0:-188:499.79:283
158,0:-183:499.59:283
