Index,Data
0,
1,0:-1:489.00
2,0:-7:493.04
3,0:-13:493.03
4,0:-20:493.04
5,0:-26:492.96
6,0:-33:492.87
7,0:-39:492.72
8,0:-46:492.37
9,0:-52:492.25
10,0:-59:492.04
11,0:-65:491.76
12,0:-72:491.58
13,0:-78:491.44
14,0:-85:491.19
15,0:-91:491.01
16,0:-98:490.95
17,0:-104:490.79
18,0:-111:490.71
19,0:-117:490.65
20,0:-124:490.60
21,0:-130:490.40
22,0:-137:490.45
23,0:-143:490.43
24,0:-150:490.37
25,0:-156:490.46
26,0:-163:490.39
27,0:-169:490.22
28,0:-176:490.37
29,0:-182:490.30
30,0:-189:490.51
31,0:-195:490.55
32,0:-202:490.34
33,0:-208:490.60
34,0:-215:490.71
35,0:-221:490.66
36,0:-228:490.74
37,0:-234:490.86
38,0:-241:490.77
39,0:-247:490.90
40,0:-254:490.94
41,0:-260:491.07
42,0:-267:491.11
43,0:-273:491.25
44,0:-280:491.35
45,0:-286:491.48
46,0:-293:491.67
47,0:-299:491.71
48,0:-306:491.66
49,0:-312:491.64
50,0:-319:491.68
51,0:-325:491.90
52,0:-331:491.85
53,0:-338:492.08
54,0:-344:492.16
55,0:-351:492.37
56,0:-357:492.56
57,0:-364:492.71
58,0:-370:492.92
59,0:-377:493.03
60,0:-383:493.22
61,0:-390:493.41
62,0:-396:493.42
63,0:-400:493.52
64,0:-400:494.06
65,0:-400:494.22
66,0:-400:494.75
67,0:-400:494.98
68,0:-400:494.95
69,0:-400:495.27
70,0:-400:495.63
71,0:-400:495.58
72,0:-400:495.77
73,0:-400:496.12
74,0:-400:496.41
75,0:-400:496.13
76,0:-400:496.52
77,0:-400:496.64
78,0:-400:496.79
79,0:-400:496.82
80,0:-400:497.15
81,0:-400:496.98
82,0:-400:497.17
83,0:-400:497.06
84,0:-400:497.43
85,0:-400:497.39
86,0:-400:497.51
87,0:-400:497.75
88,0:-400:497.73
89,0:-400:497.76
90,0:-400:497.91
91,0:-400:497.73
92,0:-400:497.96
93,0:-400:497.99
94,0:-400:498.04
95,0:-400:498.32
96,0:-400:498.17
97,0:-400:498.12
98,0:-400:498.43
