Index,Data
0,
1,0:-1:545.00
2,0:-7:547.44
3,0:-13:547.29
4,0:-20:547.41
5,0:-26:547.22
6,0:-33:547.32
7,0:-39:546.95
8,0:-46:546.75
9,0:-52:546.81
10,0:-59:546.40
11,0:-65:546.16
12,0:-72:545.77
13,0:-78:545.59
14,0:-85:545.16
15,0:-91:544.83
16,0:-98:544.78
17,0:-104:544.29
18,0:-111:544.16
19,0:-117:543.82
20,0:-124:543.45
21,0:-130:543.26
22,0:-137:543.09
23,0:-143:542.84
24,0:-150:542.70
25,0:-156:542.50
26,0:-163:542.48
27,0:-169:542.19
28,0:-176:542.13
29,0:-182:541.98
30,0:-189:541.79
31,0:-195:541.80
32,0:-202:541.53
33,0:-208:541.65
34,0:-215:541.76
35,0:-221:541.41
36,0:-228:541.54
37,0:-234:541.38
38,0:-241:541.30
39,0:-247:541.36
40,0:-254:541.44
41,0:-260:541.35
42,0:-267:541.31
43,0:-273:541.43
44,0:-280:541.28
45,0:-286:541.21
46,0:-293:541.15
47,0:-299:541.23
48,0:-306:541.16
49,0:-312:541.03
50,0:-319:541.34
51,0:-325:541.06
52,0:-331:541.14
53,0:-338:540.88
54,0:-344:541.11
55,0:-351:541.00
56,0:-357:541.06
57,0:-364:541.05
58,0:-370:540.94
59,0:-377:541.20
60,0:-383:540.96
61,0:-390:540.94
62,0:-396:540.76
63,0:-400:540.76
64,0:-400:540.86
65,0:-400:541.09
66,0:-400:541.31
67,0:-400:541.44
68,0:-400:541.53
69,0:-400:541.54
70,0:-400:541.88
71,0:-400:541.80
72,0:-400:541.96
73,0:-400:542.04
74,0:-400:542.22
75,0:-400:542.22
76,0:-400:542.39
77,0:-400:542.59
78,0:-400:542.50
79,0:-400:542.65
80,0:-400:542.56
81,0:-400:542.59
82,0:-400:542.63
83,0:-400:542.81
84,0:-400:542.87
85,0:-400:542.93
86,0:-400:542.93
87,0:-400:543.10
88,0:-400:543.11
89,0:-400:542.99
90,0:-400:543.26
91,0:-400:543.24
92,0:-400:543.25
93,0:-400:543.41
94,0:-400:543.47
95,0:-400:543.57
96,0:-400:543.43
97,0:-400:543.40
98,0:-400:543.33
99,0:-400:543.52
100,0:-400:543.48
101,0:-399:543.51
102,0:-393:543.69
103,0:-386:543.67
104,0:-380:543.83
105,0:-373:543.72
106,0:-367:543.96
107,0:-360:543.92
108,0:-354:543.89
109,0:-347:544.02
110,0:-341:544.24
111,0:-334:544.39
112,0:-328:544.24
113,0:-321:544.60
114,0:-315:544.52
115,0:-308:544.65
116,0:-302:544.63
117,0:-295:544.82
118,0:-289:544.93
119,0:-282:544.79
120,0:-276:544.94
121,0:-269:544.70
122,0:-263:544.91
123,0:-256:544.60
124,0:-250:544.67
125,0:-243:544.56
126,0:-237:544.40
127,0:-230:544.44
128,0:-224:543.98
129,0:-217:544.16
130,0:-211:543.81
131,0:-204:543.58
132,0:-198:543.21
133,0:-191:542.98
134,0:-185:542.74
135,0:-178:542.38
136,0:-172:542.02
137,0:-165:541.56
138,0:-159:541.42
139,0:-152:540.66
140,0:-146:540.32
141,0:-139:539.94
142,0:-133:539.42
143,0:-126:538.90
144,0:-120:538.28
145,0:-113:537.77
146,0:-107:537.07
147,0:-100:536.42
148,0:-94:535.56
149,0:-87:535.05
150,0:-81:534.19
151,0:-75:533.27
152,0:-68:532.67
153,0:-62:531.74
154,0:-55:531.02
155,0:-49:530.04
156,0:-42:529.26
157,0:-36:528.41
158,0:-29:527.53
159,0:-23:526.63
160,0:-16:525.45
161,0:-10:524.57
162,0:-3:523.67
163,0:0:522.81
164,0:0:522.70
165,0:0:522.85
166,0:0:523.22
167,0:0:523.52
168,0:0:523.64
169,0:0:523.75
170,0:0:524.02
171,0:0:524.18
172,0:0:524.36
173,0:0:524.51
174,0:0:524.75
175,0:0:524.98
176,0:0:524.86
177,0:0:525.04
178,0:0:525.15
179,0:0:525.40
180,0:0:525.54
181,0:0:525.46
182,0:0:525.63
183,0:0:525.77
184,0:0:525.90
185,0:0:525.89
186,0:0:525.95
187,0:0:526.03
188,0:0:526.32
189,0:0:526.33
190,0:0:526.56
191,0:0:526.52
192,0:0:526.63
193,0:0:526.86
194,0:0:526.81
195,0:0:527.00
196,0:0:526.99
197,0:0:527.19
198,0:0:527.11
199,0:0:527.12
200,0:0:527.29
201,1:-1:527.22
202,1:-8:527.68
203,1:-14:528.22
204,1:-21:528.72
205,1:-27:529.15
206,1:-34:529.70
207,1:-40:529.95
208,1:-47:530.52
209,1:-53:531.06
210,1:-60:531.48
211,1:-66:531.89
212,1:-73:532.36
213,1:-79:532.85
214,1:-86:533.48
215,1:-92:533.85
216,1:-99:534.25
217,1:-105:534.84
218,1:-112:535.36
219,1:-118:535.63
220,1:-125:536.07
221,1:-131:536.40
222,1:-138:537.28
223,1:-144:537.53
224,1:-151:537.89
225,1:-157:538.34
226,1:-164:538.67
227,1:-170:539.02
228,1:-177:539.41
229,1:-183:539.76
230,1:-190:539.98
231,1:-196:540.54
232,1:-203:540.83
233,1:-209:540.93
234,1:-216:541.35
235,1:-222:541.44
236,1:-229:542.01
237,1:-235:541.89
238,1:-242:542.30
239,1:-248:542.52
240,1:-255:542.82
241,1:-261:542.97
242,1:-268:543.23
243,1:-274:543.46
244,1:-281:543.37
245,1:-287:543.59
246,1:-294:543.59
247,1:-300:543.72
248,1:-307:543.89
249,1:-313:543.94
250,1:-320:544.12
251,1:-326:544.06
252,1:-332:544.13
253,1:-339:544.09
254,1:-345:544.17
255,1:-352:544.14
256,1:-358:544.51
257,1:-365:544.56
258,1:-371:544.46
259,1:-378:544.65
260,1:-384:544.33
261,1:-391:544.52
262,1:-397:544.29
263,1:-400:544.58
264,1:-400:544.40
265,1:-400:544.64
266,1:-400:544.80
267,1:-400:544.91
268,1:-400:545.05
269,1:-400:545.04
270,1:-400:545.20
271,1:-400:545.18
272,1:-400:545.39
273,1:-400:545.38
274,1:-400:545.47
275,1:-400:545.74
276,1:-400:545.53
277,1:-400:545.71
278,1:-400:545.69
279,1:-400:545.84
280,1:-400:545.82
281,1:-400:546.01
282,1:-400:546.05
283,1:-400:546.07
284,1:-400:546.09
285,1:-400:546.09
286,1:-400:546.11
287,1:-400:546.13
288,1:-400:546.28
289,1:-400:546.05
290,1:-400:546.37
291,1:-400:546.31
292,1:-400:546.42
293,1:-400:546.42
294,1:-400:546.39
295,1:-400:546.40
296,1:-400:546.55
297,1:-400:546.49
298,1:-400:546.55
299,1:-400:546.43
300,1:-400:546.73
301,1:-398:546.57
302,1:-392:546.65
303,1:-385:546.71
304,1:-379:546.85
305,1:-372:546.71
306,1:-366:546.63
307,1:-359:546.71
308,1:-353:546.64
309,1:-346:546.79
310,1:-340:546.92
311,1:-333:547.17
312,1:-327:547.09
313,1:-320:547.20
314,1:-314:547.18
315,1:-307:547.32
316,1:-301:547.63
317,1:-294:547.51
318,1:-288:547.51
319,1:-281:547.43
320,1:-275:547.38
321,1:-268:547.23
322,1:-262:547.43
323,1:-255:547.03
324,1:-249:547.05
325,1:-242:546.92
326,1:-236:546.86
327,1:-229:546.61
328,1:-223:546.25
329,1:-216:546.11
330,1:-210:545.88
331,1:-203:545.62
332,1:-197:545.24
333,1:-190:544.77
334,1:-184:544.49
335,1:-177:544.15
336,1:-171:543.48
337,1:-164:543.13
338,1:-158:542.66
339,1:-151:542.10
340,1:-145:541.49
341,1:-138:541.00
342,1:-132:540.40
343,1:-125:539.78
344,1:-119:539.09
345,1:-112:538.26
346,1:-106:537.50
347,1:-99:536.90
348,1:-93:535.98
349,1:-86:535.27
350,1:-80:534.38
351,1:-74:533.34
352,1:-67:532.50
353,1:-61:531.50
354,1:-54:530.60
355,1:-48:529.41
356,1:-41:528.62
357,1:-35:527.62
358,1:-28:526.60
359,1:-22:525.57
360,1:-15:524.42
361,1:-9:523.18
362,1:-2:522.07
363,1:0:521.16
364,1:0:521.14
365,1:0:521.10
366,1:0:521.30
367,1:0:521.47
368,1:0:521.78
369,1:0:521.72
370,1:0:522.08
371,1:0:522.08
372,1:0:522.36
373,1:0:522.37
374,1:0:522.60
375,1:0:522.79
376,1:0:522.91
377,1:0:523.12
378,1:0:523.10
379,1:0:523.28
380,1:0:523.36
381,1:0:523.60
382,1:0:523.68
383,1:0:523.72
384,1:0:523.90
385,1:0:524.01
386,1:0:523.94
387,1:0:524.04
388,1:0:524.14
389,1:0:524.21
390,1:0:524.22
391,1:0:524.40
392,1:0:524.54
393,1:0:524.77
394,1:0:524.72
395,1:0:524.98
396,1:0:524.66
397,1:0:525.15
398,1:0:524.91
399,1:0:525.00
400,1:0:525.21
401,2:-2:525.09
402,2:-9:525.49
403,2:-15:526.08
404,2:-22:526.67
405,2:-28:527.10
406,2:-35:527.84
407,2:-41:528.08
408,2:-48:528.85
409,2:-54:529.43
410,2:-61:529.76
411,2:-67:530.61
412,2:-74:531.09
413,2:-80:531.71
414,2:-87:532.35
415,2:-93:532.94
416,2:-100:533.27
417,2:-106:533.73
418,2:-113:534.51
419,2:-119:534.86
420,2:-126:535.40
421,2:-132:535.88
422,2:-139:536.51
423,2:-145:537.08
424,2:-152:537.45
425,2:-158:537.87
426,2:-165:538.18
427,2:-171:538.95
428,2:-178:539.22
429,2:-184:539.68
430,2:-191:540.13
431,2:-197:540.62
432,2:-204:540.77
433,2:-210:541.28
434,2:-217:541.59
435,2:-223:541.80
436,2:-230:542.14
437,2:-236:542.28
438,2:-243:542.79
439,2:-249:543.07
440,2:-256:543.33
441,2:-262:543.49
442,2:-269:543.74
443,2:-275:543.99
444,2:-282:544.04
445,2:-288:544.31
446,2:-295:544.59
447,2:-301:544.53
448,2:-308:544.70
449,2:-314:544.87
450,2:-320:545.07
451,2:-327:545.16
452,2:-333:545.11
453,2:-340:545.00
454,2:-346:545.18
455,2:-353:545.33
456,2:-359:545.47
457,2:-366:545.64
458,2:-372:545.71
459,2:-379:545.64
460,2:-385:545.65
461,2:-392:545.74
462,2:-398:545.61
463,2:-400:545.48
464,2:-400:545.73
465,2:-400:545.98
466,2:-400:545.93
467,2:-400:546.19
468,2:-400:546.21
469,2:-400:546.15
470,2:-400:546.51
471,2:-400:546.54
472,2:-400:546.61
473,2:-400:546.78
474,2:-400:546.84
475,2:-400:546.79
476,2:-400:547.00
477,2:-400:547.04
478,2:-400:547.04
479,2:-400:547.14
480,2:-400:547.09
481,2:-400:547.32
482,2:-400:547.25
483,2:-400:547.34
484,2:-400:547.21
485,2:-400:547.38
486,2:-400:547.53
487,2:-400:547.46
488,2:-400:547.52
489,2:-400:547.53
490,2:-400:547.49
491,2:-400:547.67
492,2:-400:547.54
493,2:-400:547.76
494,2:-400:547.72
495,2:-400:547.70
496,2:-400:547.85
497,2:-400:547.73
498,2:-400:547.82
499,2:-400:547.85
500,2:-400:547.84
501,2:-397:548.01
502,2:-391:547.94
503,2:-384:547.93
504,2:-378:548.17
505,2:-371:548.18
506,2:-365:548.02
507,2:-358:547.85
508,2:-352:548.05
509,2:-345:548.08
510,2:-339:548.10
511,2:-332:548.12
512,2:-326:548.27
513,2:-319:548.47
514,2:-313:548.37
515,2:-306:548.42
516,2:-300:548.49
517,2:-293:548.48
518,2:-287:548.60
519,2:-280:548.49
520,2:-274:548.60
521,2:-267:548.32
522,2:-261:548.33
523,2:-254:548.13
524,2:-248:547.97
525,2:-241:547.71
526,2:-235:547.60
527,2:-228:547.31
528,2:-222:546.98
529,2:-215:546.91
530,2:-209:546.49
531,2:-202:546.24
532,2:-196:545.80
533,2:-189:545.31
534,2:-183:545.11
535,2:-176:544.63
536,2:-170:544.25
537,2:-163:543.48
538,2:-157:543.20
539,2:-150:542.56
540,2:-144:542.11
541,2:-137:541.40
542,2:-131:540.76
543,2:-124:540.03
544,2:-118:539.36
545,2:-111:538.67
546,2:-105:537.84
547,2:-98:536.93
548,2:-92:536.14
549,2:-85:535.20
550,2:-79:534.40
551,2:-73:533.33
552,2:-66:532.56
553,2:-60:531.40
554,2:-53:530.35
555,2:-47:529.37
556,2:-40:528.21
557,2:-34:527.23
558,2:-27:525.94
559,2:-21:524.85
560,2:-14:523.60
561,2:-8:522.43
562,2:-1:521.57
563,2:0:520.48
564,2:0:520.28
565,2:0:520.48
566,2:0:520.58
567,2:0:520.74
568,2:0:520.88
569,2:0:520.98
570,2:0:521.24
571,2:0:521.28
572,2:0:521.57
573,2:0:521.64
574,2:0:521.71
575,2:0:521.79
