Index,Data
0,
1,0:-1:12.00
2,0:-3:5.62
3,0:-6:5.33
4,0:-8:5.66
5,0:-11:5.43
6,0:-13:5.42
7,0:-16:5.44
8,0:-19:5.71
9,0:-21:5.51
10,0:-24:5.69
11,0:-26:5.70
12,0:-29:5.39
13,0:-32:5.86
14,0:-34:5.83
15,0:-37:5.43
16,0:-39:5.48
17,0:-42:5.64
18,0:-45:5.35
19,0:-47:5.48
20,0:-50:5.67
21,0:-52:5.48
22,0:-55:5.76
23,0:-58:5.69
24,0:-60:5.55
25,0:-63:5.57
26,0:-65:5.50
27,0:-68:5.38
28,0:-71:5.39
29,0:-73:5.55
30,0:-76:5.32
31,0:-78:5.59
32,0:-81:5.48
33,0:-84:5.33
34,0:-86:5.73
35,0:-89:5.56
36,0:-91:5.57
37,0:-94:5.53
38,0:-97:5.64
39,0:-99:5.48
40,0:-102:5.39
41,0:-104:5.29
42,0:-107:5.41
43,0:-110:5.36
44,0:-112:5.55
45,0:-115:5.53
46,0:-117:5.46
47,0:-120:5.76
48,0:-123:5.61
49,0:-125:5.46
50,0:-128:5.59
51,0:-130:5.70
52,0:-133:5.29
53,0:-136:5.35
54,0:-138:5.52
55,0:-141:5.15
56,0:-143:5.49
57,0:-146:5.40
58,0:-149:5.28
59,0:-151:5.66
60,0:-154:5.64
61,0:-156:5.49
62,0:-159:5.57
63,0:-161:5.76
64,0:-164:5.20
65,0:-167:5.43
66,0:-169:5.23
67,0:-172:5.14
68,0:-174:5.51
69,0:-177:5.40
70,0:-180:5.33
71,0:-182:5.62
72,0:-185:5.64
73,0:-187:5.31
74,0:-190:5.55
75,0:-193:5.46
76,0:-195:5.40
77,0:-198:5.37
78,0:-200:5.25
79,0:-203:5.40
80,0:-206:5.42
81,0:-208:5.55
82,0:-211:5.35
83,0:-213:5.52
84,0:-216:5.53
85,0:-219:5.55
86,0:-221:5.43
87,0:-224:5.53
88,0:-226:5.62
89,0:-229:5.14
90,0:-232:5.35
91,0:-234:5.46
92,0:-237:5.20
93,0:-239:5.46
94,0:-242:5.36
95,0:-245:5.33
96,0:-247:5.43
97,0:-250:5.62
98,0:-252:5.15
99,0:-255:5.61
100,0:-258:5.46
101,0:-260:5.16
102,0:-263:5.29
103,0:-265:5.21
104,0:-268:5.26
105,0:-271:5.49
106,0:-273:5.50
107,0:-276:5.15
108,0:-278:5.57
109,0:-281:5.58
110,0:-284:5.41
111,0:-286:5.67
112,0:-289:5.36
113,0:-291:5.44
114,0:-294:5.33
115,0:-297:5.38
116,0:-299:5.14
117,0:-302:5.40
118,0:-304:5.39
119,0:-307:5.28
120,0:-309:5.51
121,0:-312:5.37
122,0:-315:5.55
123,0:-317:5.24
124,0:-320:5.50
125,0:-322:5.58
126,0:-325:5.15
127,0:-328:5.29
128,0:-330:5.42
129,0:-333:5.20
130,0:-335:5.39
131,0:-338:5.46
132,0:-341:5.13
133,0:-343:5.48
134,0:-346:5.42
135,0:-348:5.37
136,0:-351:5.44
137,0:-354:5.35
138,0:-356:5.25
139,0:-359:5.19
140,0:-361:5.38
141,0:-364:5.00
142,0:-367:5.44
143,0:-369:5.40
144,0:-372:5.18
145,0:-374:5.58
146,0:-377:5.47
147,0:-380:5.43
148,0:-382:5.44
149,0:-385:5.40
150,0:-387:5.26
151,0:-390:5.36
152,0:-393:5.35
153,0:-395:5.28
154,0:-398:5.49
155,0:-400:5.30
156,0:-400:5.30
157,0:-400:5.26
158,0:-400:5.61
159,0:-400:5.35
160,0:-400:5.34
161,0:-400:5.24
162,0:-400:5.29
163,0:-400:5.37
164,0:-400:5.31
165,0:-400:5.35
166,0:-400:5.28
167,0:-400:5.44
168,0:-400:5.23
169,0:-400:5.30
170,0:-400:5.42
171,0:-400:5.30
172,0:-400:5.38
173,0:-400:5.32
174,0:-400:5.40
175,0:-400:5.32
176,0:-400:5.42
177,0:-400:5.25
178,0:-400:5.24
179,0:-400:5.43
180,0:-400:5.30
181,0:-400:5.34
182,0:-400:5.21
183,0:-400:5.38
184,0:-400:5.29
185,0:-400:5.34
186,0:-400:5.38
187,0:-400:5.25
188,0:-400:5.39
189,0:-400:5.16
190,0:-400:5.40
191,0:-400:5.29
192,0:-400:5.45
193,0:-400:5.35
194,0:-397:5.23
195,0:-395:5.22
196,0:-392:5.21
197,0:-389:5.32
198,0:-387:5.06
199,0:-384:5.46
200,0:-382:5.30
201,0:-379:5.39
202,0:-376:5.37
203,0:-374:5.40
204,0:-371:5.50
205,0:-369:5.11
206,0:-366:5.42
207,0:-363:5.43
208,0:-361:5.16
209,0:-358:5.20
210,0:-356:5.29
211,0:-353:5.22
212,0:-350:5.39
213,0:-348:5.51
214,0:-345:5.22
215,0:-343:5.49
