Index,Data
0,0:-1:227.00
1,0:-6:233.53
2,0:-11:233.43
3,0:-16:233.43
4,0:-21:233.61
5,0:-26:233.60
6,0:-32:233.60
7,0:-37:233.57
8,0:-42:233.73
9,0:-47:233.77
10,0:-52:233.64
11,0:-58:233.64
12,0:-63:233.52
13,0:-68:233.80
14,0:-73:233.82
15,0:-78:233.93
16,0:-84:233.97
17,0:-89:234.07
18,0:-94:234.01
19,0:-99:234.09
20,0:-104:234.41
21,0:-110:234.43
22,0:-115:234.49
23,0:-120:234.62
24,0:-125:234.54
25,0:-130:234.89
26,0:-136:235.09
27,0:-141:235.27
28,0:-146:235.54
29,0:-151:235.81
30,0:-156:235.79
31,0:-161:235.97
32,0:-167:236.48
33,0:-172:236.63
34,0:-177:236.84
35,0:-182:237.00
36,0:-187:237.45
37,0:-193:237.53
38,0:-198:237.92
39,0:-203:238.26
40,0:-208:238.43
41,0:-213:238.90
42,0:-219:239.13
43,0:-224:239.29
44,0:-229:239.75
45,0:-234:240.11
46,0:-239:240.16
47,0:-245:240.41
48,0:-250:240.83
49,0:-255:241.19
50,0:-260:241.24
51,0:-265:241.65
52,0:-271:241.84
53,0:-276:242.17
54,0:-281:242.61
55,0:-286:243.02
56,0:-291:243.04
57,0:-296:243.41
58,0:-302:243.65
59,0:-307:244.16
60,0:-312:244.37
61,0:-317:244.61
62,0:-322:245.11
63,0:-328:245.35
64,0:-333:245.60
65,0:-338:245.91
66,0:-343:246.22
67,0:-348:246.33
68,0:-354:246.45
69,0:-359:246.69
70,0:-364:246.72
71,0:-369:247.12
72,0:-374:247.17
73,0:-380:247.27
74,0:-385:247.45
75,0:-390:247.47
76,0:-395:247.79
77,0:-400:247.82
78,0:-400:248.07
79,0:-400:247.95
80,0:-400:248.20
81,0:-400:248.46
82,0:-400:248.55
83,0:-400:248.63
84,0:-400:248.76
85,0:-400:248.82
86,0:-400:248.89
87,0:-400:248.83
88,0:-400:249.27
89,0:-400:248.99
90,0:-400:249.09
91,0:-400:249.22
92,0:-400:249.20
93,0:-400:249.13
94,0:-400:249.34
95,0:-400:249.45
96,0:-400:249.42
97,0:-400:249.41
98,0:-400:249.67
99,0:-400:249.57
100,0:-400:249.64
101,0:-400:249.61
102,0:-400:249.62
103,0:-400:249.69
104,0:-400:249.71
105,0:-400:249.73
106,0:-400:249.70
107,0:-400:249.70
