Index,Data
0,
1,0:-1:1.00
2,0:-7:2.46
3,0:-13:2.54
4,0:-20:2.45
5,0:-26:2.64
6,0:-33:2.62
7,0:-39:2.44
8,0:-46:2.65
9,0:-52:2.47
10,0:-59:2.52
11,0:-65:2.55
12,0:-72:2.57
13,0:-78:2.51
14,0:-85:2.63
15,0:-91:2.43
16,0:-98:2.49
17,0:-104:2.52
18,0:-111:2.41
19,0:-117:2.57
20,0:-124:2.45
21,0:-130:2.46
22,0:-137:2.62
23,0:-143:2.40
24,0:-150:2.43
25,0:-156:2.41
26,0:-163:2.55
27,0:-169:2.55
28,0:-176:2.39
29,0:-182:2.37
30,0:-189:2.45
31,0:-195:2.32
32,0:-202:2.48
33,0:-208:2.50
34,0:-215:2.42
35,0:-221:2.44
36,0:-228:2.37
37,0:-234:2.56
38,0:-241:2.39
39,0:-247:2.44
40,0:-254:2.45
41,0:-260:2.39
42,0:-267:2.50
43,0:-273:2.53
44,0:-280:2.51
45,0:-286:2.48
46,0:-293:2.48
47,0:-299:2.51
48,0:-306:2.54
49,0:-312:2.49
50,0:-319:2.39
51,0:-325:2.56
52,0:-331:2.28
53,0:-338:2.54
54,0:-344:2.39
55,0:-351:2.39
56,0:-357:2.40
57,0:-364:2.50
58,0:-370:2.43
59,0:-377:2.37
60,0:-383:2.38
61,0:-390:2.35
62,0:-396:2.67
63,0:-400:2.42
64,0:-400:2.62
65,0:-400:2.47
66,0:-400:2.53
67,0:-400:2.52
68,0:-400:2.50
69,0:-400:2.51
70,0:-400:2.48
71,0:-400:2.63
72,0:-400:2.54
73,0:-400:2.55
74,0:-400:2.54
75,0:-400:2.49
76,0:-400:2.59
77,0:-400:2.50
78,0:-400:2.51
79,0:-400:2.45
80,0:-400:2.52
81,0:-400:2.55
82,0:-400:2.50
83,0:-400:2.56
84,0:-400:2.46
85,0:-400:2.59
86,0:-400:2.48
87,0:-400:2.51
88,0:-400:2.53
89,0:-400:2.49
90,0:-400:2.55
91,0:-400:2.43
92,0:-400:2.51
93,0:-400:2.50
94,0:-400:2.52
95,0:-400:2.54
96,0:-400:2.57
97,0:-400:2.48
98,0:-400:2.51
99,0:-400:2.59
100,0:-400:2.52
101,0:-399:2.55
102,0:-393:2.44
103,0:-386:2.51
104,0:-380:2.46
105,0:-373:2.55
106,0:-367:2.41
107,0:-360:2.43
108,0:-354:2.48
