Index,Data
0,0:-1:235.00
1,0:-6:229.79
2,0:-11:229.89
3,0:-16:229.94
4,0:-21:230.00
5,0:-26:230.15
6,0:-32:230.32
7,0:-37:230.44
8,0:-42:230.55
9,0:-47:230.64
10,0:-52:230.93
11,0:-58:231.09
12,0:-63:231.45
13,0:-68:231.73
14,0:-73:231.94
15,0:-78:232.41
16,0:-84:232.79
17,0:-89:233.00
18,0:-94:233.32
19,0:-99:233.78
20,0:-104:234.23
21,0:-110:234.56
22,0:-115:234.86
23,0:-120:235.34
24,0:-125:235.70
25,0:-130:236.16
26,0:-136:236.58
27,0:-141:236.93
28,0:-146:237.31
29,0:-151:237.85
30,0:-156:238.35
31,0:-161:238.81
32,0:-167:239.33
33,0:-172:239.82
34,0:-177:240.11
35,0:-182:240.52
36,0:-187:240.96
37,0:-193:241.30
38,0:-198:241.76
39,0:-203:242.06
40,0:-208:242.57
41,0:-213:242.79
42,0:-219:243.24
43,0:-224:243.60
44,0:-229:243.99
45,0:-234:244.38
46,0:-239:244.66
47,0:-245:244.94
48,0:-250:245.25
49,0:-255:245.48
50,0:-260:245.88
51,0:-265:246.12
52,0:-271:246.28
53,0:-276:246.56
54,0:-281:246.73
55,0:-286:247.01
56,0:-291:247.09
57,0:-296:247.44
58,0:-302:247.75
59,0:-307:247.90
60,0:-312:247.96
61,0:-317:248.15
62,0:-322:248.34
63,0:-328:248.67
64,0:-333:248.85
65,0:-338:249.13
66,0:-343:249.09
67,0:-348:249.24
68,0:-354:249.41
69,0:-359:249.55
70,0:-364:249.59
71,0:-369:249.78
72,0:-374:249.81
73,0:-380:249.94
74,0:-385:250.20
75,0:-390:250.20
76,0:-395:250.27
77,0:-400:250.41
78,0:-400:250.24
79,0:-400:250.69
80,0:-400:250.78
81,0:-400:250.78
82,0:-400:250.83
83,0:-400:250.98
84,0:-400:251.10
85,0:-400:251.12
86,0:-400:251.18
87,0:-400:251.33
88,0:-400:251.49
89,0:-400:251.32
90,0:-400:251.40
91,0:-400:251.47
92,0:-400:251.56
93,0:-400:251.64
