Index,Data
0,0:-1:561.00
1,0:-6:565.62
2,0:-11:565.42
3,0:-16:565.53
4,0:-21:565.27
5,0:-26:565.21
6,0:-32:565.11
7,0:-37:564.89
8,0:-42:564.84
9,0:-47:564.70
10,0:-52:564.55
11,0:-58:564.32
12,0:-63:564.18
13,0:-68:564.09
14,0:-73:563.98
15,0:-78:563.70
16,0:-84:563.57
17,0:-89:563.19
18,0:-94:563.15
19,0:-99:563.12
20,0:-104:562.87
21,0:-110:562.55
22,0:-115:562.43
23,0:-120:562.25
24,0:-125:562.00
25,0:-130:561.86
26,0:-136:561.72
27,0:-141:561.62
28,0:-146:561.39
29,0:-151:561.14
30,0:-156:560.90
31,0:-161:560.71
32,0:-167:560.69
33,0:-172:560.18
34,0:-177:560.08
35,0:-182:559.80
36,0:-187:559.52
37,0:-193:559.22
38,0:-198:559.02
39,0:-203:558.67
40,0:-208:558.41
41,0:-213:558.15
42,0:-219:558.01
43,0:-224:557.58
44,0:-229:557.30
45,0:-234:556.93
46,0:-239:556.82
47,0:-245:556.34
48,0:-250:556.20
49,0:-255:555.91
50,0:-260:555.73
51,0:-265:555.43
52,0:-271:555.11
53,0:-276:554.86
54,0:-281:554.41
55,0:-286:554.04
56,0:-291:553.93
57,0:-296:553.51
58,0:-302:553.36
59,0:-307:553.17
60,0:-312:552.68
61,0:-317:552.51
62,0:-322:552.25
63,0:-328:551.96
64,0:-333:551.92
65,0:-338:551.61
66,0:-343:551.42
67,0:-348:551.07
68,0:-354:551.00
69,0:-359:550.73
70,0:-364:550.57
71,0:-369:550.31
72,0:-374:550.13
73,0:-380:549.83
74,0:-385:549.66
75,0:-390:549.36
76,0:-395:549.46
77,0:-400:548.99
78,0:-400:549.29
79,0:-400:549.26
80,0:-400:549.16
81,0:-400:549.51
82,0:-400:549.47
83,0:-400:549.52
84,0:-400:549.71
85,0:-400:549.74
86,0:-400:549.76
87,0:-400:549.77
88,0:-400:549.93
89,0:-400:549.85
90,0:-400:549.86
91,0:-400:549.85
92,0:-400:550.37
93,0:-400:549.93
94,0:-400:550.18
95,0:-400:550.17
96,0:-400:550.14
97,0:-400:550.39
98,0:-400:550.14
99,0:-400:550.21
100,0:-400:550.33
101,0:-400:550.56
102,0:-400:550.20
103,0:-400:550.55
104,0:-400:550.59
105,0:-400:550.69
106,0:-400:550.59
107,0:-400:550.60
108,0:-400:550.60
109,0:-400:550.75
110,0:-400:550.47
111,0:-400:550.77
112,0:-400:550.77
113,0:-400:550.90
114,0:-400:550.88
115,0:-400:551.00
116,0:-396:550.87
117,0:-391:550.88
118,0:-385:551.12
119,0:-380:551.42
120,0:-375:551.35
121,0:-370:551.45
122,0:-365:551.83
123,0:-359:551.90
124,0:-354:552.07
125,0:-349:552.37
126,0:-344:552.42
127,0:-339:552.68
128,0:-333:552.77
129,0:-328:552.84
130,0:-323:553.10
131,0:-318:553.19
132,0:-313:553.20
133,0:-307:553.47
134,0:-302:553.77
135,0:-297:553.81
136,0:-292:553.84
137,0:-287:554.08
138,0:-281:554.01
139,0:-276:554.08
140,0:-271:554.19
141,0:-266:554.29
142,0:-261:554.28
143,0:-256:554.51
144,0:-250:554.41
145,0:-245:554.43
146,0:-240:554.38
147,0:-235:554.41
148,0:-230:554.33
149,0:-224:554.32
150,0:-219:554.37
151,0:-214:554.14
152,0:-209:554.10
153,0:-204:554.00
154,0:-198:553.86
155,0:-193:553.73
156,0:-188:553.78
157,0:-183:553.45
158,0:-178:553.52
159,0:-172:553.38
160,0:-167:553.10
161,0:-162:553.15
162,0:-157:552.69
163,0:-152:552.58
164,0:-146:552.38
165,0:-141:552.14
166,0:-136:551.89
167,0:-131:551.76
168,0:-126:551.41
169,0:-121:551.20
170,0:-115:550.87
171,0:-110:550.67
172,0:-105:550.29
173,0:-100:550.03
174,0:-95:549.75
175,0:-89:549.37
176,0:-84:549.00
177,0:-79:548.91
178,0:-74:548.58
179,0:-69:548.13
180,0:-63:547.78
181,0:-58:547.34
182,0:-53:546.83
183,0:-48:546.37
184,0:-43:545.93
185,0:-37:545.47
186,0:-32:545.04
187,0:-27:544.69
188,0:-22:543.96
189,0:-17:543.70
190,0:-11:543.13
191,0:-6:542.67
192,0:-1:542.11
193,0:0:541.78
194,0:0:541.78
195,0:0:541.71
196,0:0:541.83
197,0:0:541.98
198,0:0:541.97
199,0:0:542.30
200,0:0:542.33
201,0:0:542.51
202,0:0:542.56
203,0:0:542.51
204,0:0:542.65
205,0:0:542.88
206,0:0:542.94
207,0:0:543.02
208,0:0:543.25
209,0:0:543.25
210,0:0:543.31
211,0:0:543.39
212,0:0:543.43
213,0:0:543.54
214,0:0:543.67
215,0:0:543.73
216,0:0:543.81
217,0:0:543.74
218,0:0:543.90
219,0:0:543.90
220,0:0:543.85
221,0:0:544.08
222,0:0:544.12
223,0:0:544.38
224,0:0:544.19
225,0:0:544.19
226,0:0:544.36
227,0:0:544.37
228,0:0:544.53
229,0:0:544.57
230,0:0:544.66
231,1:-3:544.66
232,1:-8:544.90
233,1:-13:545.06
234,1:-18:545.47
235,1:-24:545.78
236,1:-29:546.05
237,1:-34:546.21
238,1:-39:546.58
239,1:-44:546.98
240,1:-50:547.41
241,1:-55:547.63
242,1:-60:548.04
243,1:-65:548.28
244,1:-70:548.68
245,1:-76:549.02
246,1:-81:549.21
247,1:-86:549.66
248,1:-91:550.04
249,1:-96:550.33
250,1:-102:550.58
251,1:-107:551.10
252,1:-112:551.32
253,1:-117:551.56
254,1:-122:551.76
255,1:-128:552.15
256,1:-133:552.30
257,1:-138:552.72
258,1:-143:553.03
259,1:-148:553.34
260,1:-153:553.35
261,1:-159:553.84
