Index,Data
0,0:-1:562.00
1,0:-6:563.64
2,0:-11:563.71
3,0:-16:563.80
4,0:-21:563.62
5,0:-26:563.54
6,0:-32:563.50
7,0:-37:563.33
8,0:-42:562.97
9,0:-47:562.85
10,0:-52:562.80
11,0:-58:562.55
12,0:-63:562.36
13,0:-68:562.13
14,0:-73:562.13
15,0:-78:562.00
16,0:-84:562.03
17,0:-89:561.64
18,0:-94:561.77
19,0:-99:561.70
20,0:-104:561.84
21,0:-110:561.56
22,0:-115:561.78
23,0:-120:561.72
24,0:-125:561.73
25,0:-130:561.76
26,0:-136:561.71
27,0:-141:561.67
28,0:-146:561.82
29,0:-151:561.78
30,0:-156:561.97
31,0:-161:561.91
32,0:-167:562.01
33,0:-172:562.02
34,0:-177:562.27
35,0:-182:562.21
36,0:-187:562.15
37,0:-193:562.31
38,0:-198:562.47
39,0:-203:562.58
40,0:-208:562.66
41,0:-213:562.85
42,0:-219:562.78
43,0:-224:562.84
44,0:-229:562.88
45,0:-234:562.96
46,0:-239:563.05
47,0:-245:563.26
48,0:-250:563.41
49,0:-255:563.54
50,0:-260:563.53
51,0:-265:563.44
52,0:-271:563.54
53,0:-276:563.53
54,0:-281:563.57
55,0:-286:563.55
56,0:-291:563.76
57,0:-296:563.58
58,0:-302:563.74
59,0:-307:563.79
60,0:-312:563.75
61,0:-317:563.73
62,0:-322:563.97
63,0:-328:563.87
64,0:-333:563.83
65,0:-338:563.88
66,0:-343:564.00
67,0:-348:563.91
68,0:-354:563.90
69,0:-359:563.79
70,0:-364:563.70
71,0:-369:563.61
72,0:-374:563.53
73,0:-380:563.56
74,0:-385:563.45
75,0:-390:563.55
76,0:-395:563.34
77,0:-400:563.31
78,0:-400:563.26
79,0:-400:563.32
80,0:-400:563.42
81,0:-400:563.66
82,0:-400:563.82
83,0:-400:563.97
84,0:-400:563.87
85,0:-400:563.93
86,0:-400:564.09
87,0:-400:564.18
88,0:-400:564.16
89,0:-400:564.15
90,0:-400:564.30
91,0:-400:564.53
92,0:-400:564.36
93,0:-400:564.49
94,0:-400:564.62
95,0:-400:564.64
96,0:-400:564.62
97,0:-400:564.60
