Index,Data
0,0:-1:532.00
1,0:-6:537.07
2,0:-11:537.07
3,0:-16:537.10
4,0:-21:537.10
5,0:-26:537.11
6,0:-32:537.02
7,0:-37:536.95
8,0:-42:537.10
9,0:-47:536.81
10,0:-52:536.73
11,0:-58:536.78
12,0:-63:536.74
13,0:-68:536.57
14,0:-73:536.53
15,0:-78:536.43
16,0:-84:485.42
17,0:-89:499.01
18,0:-94:535.73
19,0:-99:535.93
20,0:-104:535.73
21,0:-110:535.70
22,0:-115:535.58
23,0:-120:535.55
24,0:-125:535.48
25,0:-130:535.24
26,0:-136:535.18
27,0:-141:535.08
28,0:-146:535.06
29,0:-151:534.86
30,0:-156:534.93
31,0:-161:534.84
32,0:-167:534.72
33,0:-172:534.78
34,0:-177:534.62
35,0:-182:534.59
36,0:-187:534.55
37,0:-193:534.44
38,0:-198:534.40
39,0:-203:534.37
40,0:-208:534.47
41,0:-213:534.44
42,0:-219:534.55
43,0:-224:534.46
44,0:-229:534.71
45,0:-234:534.42
46,0:-239:534.56
47,0:-245:534.59
48,0:-250:534.54
49,0:-255:534.61
50,0:-260:534.69
51,0:-265:534.55
52,0:-271:534.72
53,0:-276:534.60
54,0:-281:534.68
55,0:-286:534.66
56,0:-291:534.55
57,0:-296:534.68
58,0:-302:534.71
59,0:-307:534.71
60,0:-312:534.61
61,0:-317:534.70
62,0:-322:534.67
63,0:-328:534.54
64,0:-333:534.55
65,0:-338:534.50
66,0:-343:534.53
67,0:-348:534.52
68,0:-354:534.46
69,0:-359:534.39
70,0:-364:534.34
71,0:-369:534.23
72,0:-374:534.26
73,0:-380:534.24
74,0:-385:534.00
75,0:-390:533.99
76,0:-395:533.90
77,0:-400:533.75
78,0:-400:533.76
79,0:-400:533.92
80,0:-400:533.96
81,0:-400:534.09
82,0:-400:534.13
83,0:-400:534.15
84,0:-400:534.21
85,0:-400:534.38
86,0:-400:534.41
87,0:-400:534.41
88,0:-400:534.42
89,0:-400:534.59
90,0:-400:534.59
91,0:-400:534.64
92,0:-400:534.70
93,0:-400:534.76
94,0:-400:534.73
95,0:-400:534.71
96,0:-400:534.74
97,0:-400:534.86
98,0:-400:534.86
99,0:-400:534.88
100,0:-400:534.87
101,0:-400:535.12
102,0:-400:534.95
103,0:-400:535.03
104,0:-400:535.06
105,0:-400:535.18
106,0:-400:535.09
107,0:-400:535.15
108,0:-400:535.19
109,0:-400:535.16
110,0:-400:535.24
111,0:-400:535.36
112,0:-400:535.13
113,0:-400:535.29
114,0:-400:535.42
115,0:-400:535.29
116,0:-396:535.39
117,0:-391:535.46
118,0:-385:535.66
119,0:-380:535.88
120,0:-375:536.01
121,0:-370:535.91
122,0:-365:536.06
123,0:-359:536.23
124,0:-354:536.49
125,0:-349:536.57
126,0:-344:536.81
127,0:-339:536.93
128,0:-333:536.95
129,0:-328:537.04
130,0:-323:537.06
131,0:-318:537.17
132,0:-313:537.33
133,0:-307:537.51
134,0:-302:537.63
135,0:-297:537.65
136,0:-292:537.71
137,0:-287:537.81
138,0:-281:537.84
139,0:-276:537.81
140,0:-271:537.93
141,0:-266:537.86
142,0:-261:537.83
143,0:-256:537.86
144,0:-250:537.77
145,0:-245:537.87
146,0:-240:537.75
147,0:-235:537.73
148,0:-230:537.47
149,0:-224:537.46
150,0:-219:537.22
151,0:-214:537.18
152,0:-209:537.05
153,0:-204:533.63
154,0:-198:512.56
155,0:-193:512.22
156,0:-188:377.63
157,0:-183:536.21
158,0:-178:535.99
159,0:-172:535.58
160,0:-167:535.40
161,0:-162:535.10
162,0:-157:534.73
163,0:-152:534.57
164,0:-146:534.26
165,0:-141:533.86
166,0:-136:533.53
167,0:-131:533.20
168,0:-126:532.71
169,0:-121:532.43
170,0:-115:532.05
171,0:-110:531.68
172,0:-105:531.35
173,0:-100:530.97
174,0:-95:530.55
175,0:-89:530.12
176,0:-84:529.67
177,0:-79:529.31
178,0:-74:529.04
179,0:-69:528.39
180,0:-63:528.01
181,0:-58:527.54
182,0:-53:527.21
183,0:-48:526.75
184,0:-43:526.19
185,0:-37:525.71
186,0:-32:525.29
187,0:-27:524.72
188,0:-22:524.37
189,0:-17:523.68
190,0:-11:523.14
191,0:-6:522.75
192,0:-1:522.20
193,0:0:521.67
194,0:0:521.65
195,0:0:521.64
196,0:0:521.65
197,0:0:521.84
198,0:0:521.78
199,0:0:521.93
200,0:0:521.92
201,0:0:522.10
202,0:0:522.18
203,0:0:522.31
204,0:0:522.52
205,0:0:522.37
206,0:0:522.45
207,0:0:522.57
208,0:0:522.61
209,0:0:522.76
210,0:0:522.82
211,0:0:522.79
212,0:0:522.69
213,0:0:522.91
214,0:0:522.92
215,0:0:522.98
216,0:0:523.04
217,0:0:522.93
218,0:0:523.18
219,0:0:523.12
220,0:0:523.45
221,0:0:523.32
222,0:0:523.38
223,0:0:523.23
224,0:0:523.43
225,0:0:523.54
226,0:0:523.56
227,0:0:523.68
228,0:0:523.60
229,0:0:523.72
230,0:0:523.66
231,1:-3:523.76
232,1:-8:523.88
233,1:-13:524.35
234,1:-18:524.57
235,1:-24:524.88
236,1:-29:525.09
237,1:-34:525.34
238,1:-39:525.57
239,1:-44:525.91
240,1:-50:526.35
241,1:-55:526.54
242,1:-60:526.91
243,1:-65:527.18
244,1:-70:527.49
245,1:-76:527.81
246,1:-81:528.18
247,1:-86:528.25
248,1:-91:528.70
249,1:-96:528.83
250,1:-102:529.15
251,1:-107:529.51
252,1:-112:520.07
253,1:-117:530.11
254,1:-122:530.36
255,1:-128:530.67
256,1:-133:530.95
257,1:-138:531.30
258,1:-143:531.52
259,1:-148:531.86
260,1:-153:532.10
261,1:-159:532.34
262,1:-164:532.60
263,1:-169:532.92
264,1:-174:533.28
265,1:-179:533.38
266,1:-185:533.63
267,1:-190:533.99
268,1:-195:534.20
269,1:-200:534.64
270,1:-205:534.69
271,1:-211:535.02
272,1:-216:535.16
273,1:-221:535.22
274,1:-226:535.43
275,1:-231:535.59
276,1:-237:535.91
277,1:-242:536.08
278,1:-247:536.29
279,1:-252:536.32
280,1:-257:536.41
281,1:-263:536.58
282,1:-268:536.77
283,1:-273:536.87
284,1:-278:536.98
285,1:-283:537.22
286,1:-288:537.13
287,1:-294:537.30
288,1:-299:537.21
289,1:-304:537.31
290,1:-309:537.28
291,1:-314:537.36
292,1:-320:537.29
293,1:-325:537.40
294,1:-330:537.47
295,1:-335:537.36
296,1:-340:537.39
297,1:-346:537.28
298,1:-351:537.32
299,1:-356:537.29
300,1:-361:537.16
301,1:-366:537.09
302,1:-372:537.00
303,1:-377:536.91
304,1:-382:536.83
305,1:-387:536.89
