Index,Data
0,0:-1:513.00
1,0:-6:519.66
2,0:-11:519.94
3,0:-16:519.91
4,0:-21:520.12
5,0:-26:520.26
6,0:-32:520.13
7,0:-37:520.25
8,0:-42:520.31
9,0:-47:520.53
10,0:-52:520.41
11,0:-58:520.50
12,0:-63:520.47
13,0:-68:520.40
14,0:-73:520.64
15,0:-78:520.63
16,0:-84:520.82
17,0:-89:520.90
18,0:-94:520.82
19,0:-99:520.93
20,0:-104:521.10
21,0:-110:521.14
22,0:-115:521.19
23,0:-120:521.32
24,0:-125:521.27
25,0:-130:521.52
26,0:-136:521.57
27,0:-141:521.67
28,0:-146:521.76
29,0:-151:521.91
30,0:-156:521.99
31,0:-161:522.13
32,0:-167:522.45
33,0:-172:522.51
34,0:-177:522.49
35,0:-182:522.66
36,0:-187:522.68
37,0:-193:522.85
38,0:-198:523.25
39,0:-203:523.38
40,0:-208:523.50
41,0:-213:523.68
42,0:-219:523.69
43,0:-224:523.86
44,0:-229:524.05
45,0:-234:524.29
46,0:-239:524.41
47,0:-245:524.49
48,0:-250:524.62
49,0:-255:524.83
50,0:-260:524.83
51,0:-265:524.97
52,0:-271:525.32
53,0:-276:525.10
54,0:-281:525.35
55,0:-286:525.51
56,0:-291:525.63
57,0:-296:525.73
58,0:-302:525.71
59,0:-307:525.74
60,0:-312:525.84
61,0:-317:525.95
62,0:-322:525.99
63,0:-328:526.06
64,0:-333:526.06
65,0:-338:526.19
66,0:-343:526.02
67,0:-348:525.95
68,0:-354:526.05
69,0:-359:526.07
70,0:-364:525.96
71,0:-369:525.91
72,0:-374:525.83
73,0:-380:525.80
74,0:-385:525.89
75,0:-390:525.99
76,0:-395:525.70
77,0:-400:525.56
78,0:-400:525.59
79,0:-400:526.06
80,0:-400:526.02
81,0:-400:525.92
82,0:-400:526.23
83,0:-400:526.10
84,0:-400:526.13
85,0:-400:526.43
86,0:-400:526.45
87,0:-400:526.54
88,0:-400:526.80
89,0:-400:526.50
90,0:-400:526.33
91,0:-400:526.48
92,0:-400:526.71
93,0:-400:526.77
94,0:-400:526.90
95,0:-400:526.81
96,0:-400:527.06
97,0:-400:526.99
98,0:-400:526.94
99,0:-400:526.96
100,0:-400:526.89
101,0:-400:527.15
102,0:-400:527.24
103,0:-400:527.04
104,0:-400:527.05
105,0:-400:527.09
106,0:-400:527.16
107,0:-400:527.33
108,0:-400:527.32
109,0:-400:527.30
110,0:-400:527.34
111,0:-400:527.38
112,0:-400:527.19
113,0:-400:527.39
114,0:-400:527.57
115,0:-400:527.38
116,0:-396:527.41
117,0:-391:527.53
118,0:-385:527.64
119,0:-380:527.77
120,0:-375:527.81
121,0:-370:528.14
122,0:-365:528.13
123,0:-359:528.24
124,0:-354:528.49
125,0:-349:528.58
126,0:-344:528.55
127,0:-339:529.04
128,0:-333:529.15
129,0:-328:529.13
130,0:-323:529.19
131,0:-318:529.31
132,0:-313:529.38
133,0:-307:529.51
134,0:-302:529.47
135,0:-297:529.52
136,0:-292:529.63
137,0:-287:529.66
138,0:-281:529.69
139,0:-276:529.74
140,0:-271:529.72
141,0:-266:529.58
142,0:-261:529.67
143,0:-256:529.54
144,0:-250:529.57
145,0:-245:529.38
146,0:-240:529.28
147,0:-235:529.33
148,0:-230:529.24
149,0:-224:528.93
150,0:-219:528.70
151,0:-214:528.52
152,0:-209:528.63
153,0:-204:528.31
154,0:-198:527.96
155,0:-193:527.77
156,0:-188:527.44
157,0:-183:527.26
158,0:-178:526.95
159,0:-172:526.73
160,0:-167:526.21
161,0:-162:525.88
162,0:-157:525.72
163,0:-152:525.27
164,0:-146:524.97
165,0:-141:524.49
166,0:-136:524.16
167,0:-131:523.78
168,0:-126:523.24
169,0:-121:522.87
170,0:-115:522.45
171,0:-110:521.95
172,0:-105:521.43
173,0:-100:521.05
174,0:-95:520.47
175,0:-89:520.15
176,0:-84:519.45
177,0:-79:518.83
178,0:-74:518.67
179,0:-69:517.98
180,0:-63:517.35
181,0:-58:517.00
182,0:-53:516.35
183,0:-48:515.91
184,0:-43:515.17
185,0:-37:514.77
186,0:-32:514.12
187,0:-27:513.50
188,0:-22:512.88
189,0:-17:512.06
190,0:-11:511.64
191,0:-6:510.68
192,0:-1:509.91
193,0:0:509.48
194,0:0:509.56
195,0:0:509.43
196,0:0:509.49
197,0:0:509.58
198,0:0:509.39
199,0:0:509.43
200,0:0:509.52
201,0:0:509.59
202,0:0:509.81
203,0:0:509.66
204,0:0:509.72
205,0:0:509.68
206,0:0:509.98
207,0:0:509.78
208,0:0:510.14
209,0:0:510.17
210,0:0:510.17
211,0:0:510.26
212,0:0:510.35
213,0:0:510.23
214,0:0:510.13
215,0:0:510.44
216,0:0:510.56
217,0:0:510.44
218,0:0:510.52
219,0:0:510.61
220,0:0:510.63
221,0:0:510.74
222,0:0:510.90
223,0:0:510.65
224,0:0:510.91
225,0:0:510.95
226,0:0:510.79
227,0:0:511.04
228,0:0:510.84
229,0:0:511.15
230,0:0:511.07
231,1:-3:511.04
232,1:-8:511.27
233,1:-13:511.74
234,1:-18:512.25
235,1:-24:512.24
236,1:-29:512.77
237,1:-34:513.12
238,1:-39:513.44
239,1:-44:513.72
240,1:-50:514.13
241,1:-55:514.57
242,1:-60:514.73
243,1:-65:515.04
244,1:-70:515.38
245,1:-76:515.77
246,1:-81:516.26
247,1:-86:516.57
248,1:-91:517.09
249,1:-96:517.38
250,1:-102:517.86
251,1:-107:518.06
252,1:-112:518.44
253,1:-117:518.72
254,1:-122:519.29
255,1:-128:519.61
256,1:-133:519.84
257,1:-138:520.15
258,1:-143:520.70
259,1:-148:520.92
260,1:-153:521.25
261,1:-159:521.78
262,1:-164:522.10
263,1:-169:522.43
264,1:-174:522.64
265,1:-179:523.00
266,1:-185:523.48
267,1:-190:523.60
268,1:-195:524.08
269,1:-200:524.34
270,1:-205:524.71
271,1:-211:524.90
272,1:-216:525.27
273,1:-221:525.37
274,1:-226:525.68
275,1:-231:525.92
276,1:-237:526.18
277,1:-242:526.31
278,1:-247:526.66
279,1:-252:526.76
280,1:-257:526.98
281,1:-263:527.16
282,1:-268:527.39
283,1:-273:527.64
284,1:-278:527.72
285,1:-283:527.67
286,1:-288:528.03
287,1:-294:528.09
288,1:-299:528.22
289,1:-304:528.22
290,1:-309:528.32
291,1:-314:528.27
292,1:-320:528.52
293,1:-325:528.57
294,1:-330:528.52
295,1:-335:528.68
296,1:-340:528.61
297,1:-346:528.57
298,1:-351:528.62
299,1:-356:528.63
300,1:-361:528.50
301,1:-366:528.48
302,1:-372:528.38
303,1:-377:528.32
304,1:-382:528.32
305,1:-387:528.16
306,1:-392:528.08
307,1:-398:528.07
308,1:-400:527.89
309,1:-400:528.10
310,1:-400:528.11
311,1:-400:528.28
312,1:-400:528.38
313,1:-400:528.32
314,1:-400:528.22
315,1:-400:528.50
316,1:-400:528.58
317,1:-400:528.48
